,Unnamed: 0,question,answer,category,table_id,explicit,implicit,before_related,after_related,duration_related,max_operator,min_operator,count_operator,sum_operator,difference_operator,average_operator,comparison_operator,ordinal,answer_type
0,0,How many years did Art Carney as actor since 1939?,54 Years,actor,2,True,False,False,False,True,False,False,True,False,False,False,False,False,TEMPORAL
1,1,Who was the spouse of Art Carney in 1970?,Barbara Isaac,actor,2,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
2,2,How many total years was Art Carney married to Jean Myers?,28 years,actor,2,True,False,False,False,False,False,False,True,True,False,False,False,False,TEMPORAL
3,3,Which spouse was Art Carney married to the least?,Barbara Isaac,actor,2,False,True,False,False,False,False,True,False,False,False,False,False,False,UNKNOWN
4,4,Who was Art Carney married to when he served in the US Army?,Jean Myers,actor,2,False,True,False,False,False,False,False,False,False,False,False,False,False,PERSON
5,5,How many years before he died was Art Carney married for the last time?,23,actor,2,True,False,True,False,False,False,False,True,False,False,False,False,True,COUNT
6,6,Who was Art Carney married to while he served in the military?,Jean Myers,actor,2,False,True,False,False,False,False,False,False,False,False,False,False,False,PERSON
7,7,How old was Art Carney when he first got divorced?,47,actor,2,False,True,False,False,False,False,False,False,False,False,False,False,True,AGE
8,8,How many years ago did Art Carney was died?,19 Years ago,actor,2,True,False,True,False,False,False,False,True,False,False,False,False,False,TEMPORAL
9,9,For how many years had Benedict Cumberbatch been acting when he got married?,17,actor,3,True,False,False,False,True,False,False,True,False,False,False,False,False,COUNT
10,10,How many years prior to Cumberbatch turning 45 was the picture taken?,2,actor,3,True,False,True,False,False,False,False,True,False,False,False,False,False,COUNT
11,11,How long after Cumberbatch started his career did he marry Sophie Hunter​?,17 years,actor,3,False,True,False,True,False,False,False,False,False,False,False,False,False,TEMPORAL
12,12,How old was Cumberbatch when his career began?,22,actor,3,False,True,False,False,False,False,False,False,False,False,False,False,False,AGE
13,13,How old was Benedict Cumberbatch when he started acting?,22,actor,3,False,True,False,False,False,False,False,False,False,False,False,False,False,AGE
14,14,How many years has Benedict Cumberbatch been acting?,24 years,actor,3,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
15,15,For how many years has Benedict Cumberbatch been married?,7,actor,3,True,False,False,False,True,False,False,True,False,False,False,False,False,COUNT
16,16,Who did Benedict Cumberbatch marry in 2015?,Sophie Hunter,actor,3,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
17,17,How old was Benedict Cumberbatch when he began acting?,22 years old,actor,3,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
18,18,How many different personas has professional wrestler Dwayne Johnson used in the sport?,4,wrestling,7,False,True,False,False,False,False,False,True,False,False,False,False,False,COUNT
19,19,How many years long was Dwayne Johnson's professional wrestling career?,23,wrestling,7,True,False,False,False,False,False,False,True,False,False,False,False,False,COUNT
20,20,When was the last time that Dwayne Johnson competed in the ring professionally?,2019,wrestling,7,False,True,True,False,False,False,False,False,False,False,False,False,True,TEMPORAL
21,21,Who did Dwayne Johnson marry in 1997?,Dany Garcia,wrestling,7,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
