"question","answer","category","table_id","predicted_answer"
"What was the age when Jenson Button best finish in Super GT GT500 Championship 2018?","Age of 38","f1","0","Sure! Here's a small answer within 1 to 10 words:1st in 2018."
"What was Jenson Button's age when he won the Super GT GT500 Championship?","38","f1","0","Jenson Button was 38 years old when he won the Super GT GT500 Championship in 2018."
"How long did it take Jenson Button to win his second championship?","9 years","f1","0","Three years."
"Where did Jenson Button compete 5 years before he debuted in the Super GT GT500 Championship?","Brazil","f1","0","F1"
"For how many years did Jenson Button's professional career last?","17 years","f1","0","Jenson Button's professional career lasted for 18 years (2000-2017)."
"How old was Jenson Button when he began his professional career?","20","f1","0","Jenson Button was 20 years old when he began his professional career."
"Which country did Jenson Button participated in Formula One World Championship from 2000?","England","f1","0","United Kingdom"
"When did Jenson Button first enter into the Australian Grand Prix?","2000","f1","0","Jenson Button first entered the Australian Grand Prix in 2000."
"How many years ago did Jenson Button last won Brazilian Grand Prix in Formula One World Championship?","10 Years ago (2012)","f1","0","Jenson Button last won the Brazilian Grand Prix 10 years ago."
"What time is it in Florida if it's 8:40 in the Atlantic Time Zone?","7:40","time zone","33","It's 12:40 in Florida (EDT)."
"Which type of time zone was shown in the table?","Atlantic time zone","time zone","33","Atlantic"
"What time is it in the Atlantic Time Zone if it's 10:00 in California?","2:00","time zone","33","It's 12:00 in the Atlantic Time Zone."
"What is the time difference between the Atlantic Time Zone and Florida?","1 hour","time zone","33","One hour."
"What was the current time on 28 june 2022 based on AST?","8.40 AM","time zone","33","Here's a small answer within 1 to 10 words:08:40"
"How much time difference is between AST and ADT?","1 hour","time zone","33","One hour."
"How many UTC offset was present?","two","time zone","34","Two UTC offsets were present: UTC−07:00 and UTC−06:00."
"What was the time zone specified in the table?","Mountain time zone.","time zone","34","Mountain Time Zone"
"What was time difference between MST and MDT?","1 hour","time zone","34","One hour."
"What's the difference in time between Florida and Colorado","two hours","time zone","34","One hour."
"How many different time zones does the US have","six","time zone","34","Four."
"If it's 4 p.m. in Los Angeles, California, what time is it in Chicago, Illinois?","6 p.m.","time zone","34","It's 7 p.m. in Chicago."
"What is the time diffrence between NST and NDT?","1 Hour","time zone","35","NST is 1 hour ahead of NDT."
"How many hours does NDT is behind Coordinated Universal Time (UTC)?","2.30 hours","time zone","35","NDT is 1 hour behind UTC."
"What is the Current time in Newfoundland Time Zone?","Sunday, 10 July 2022, 11:26 pm","time zone","35","NST: 08:25, 28 June 2022 | NDT: 09:25, 28 June 2022"
"For what senior year team did Pau Quemada begin to play for the year he won the bronze medal at the World Cup?","Leuven","hockey","41","Leuven"
"Where did the 2009 World Cup take place where Pau Quemada won a bronze medal.","Mönchengladbach","hockey","41","Germany"
"How many years has Pau Quemada been playing in his senior career?","17 years","hockey","41","Pau Quemada has been playing in his senior career for 17 years (2005-2022)."
"What is the most recent team that Pau Quemada has been associated with?","Leuven","hockey","41","Leuven"
"What team has Pau Quemada been associated with for the longest in the senior division?","Club Egara","hockey","41","Leuven"
"How many years did the Pau Quemada play in the senior division?","16","hockey","41","Pau Quemada played in the senior division for 16 years (2005-2021)."
"How many years separate when Pau Quemada first started playing for Leuven and the start of of his present membership on the team?","15","hockey","41","Seven years."
"How much longer did Pau Quemada play for Club Egara than Laren?","4 years","hockey","41","Pau Quemada played for Club Egara 11 years longer than Laren."
"How many years did Pau Quemada play for Real Club de Polo?","2 years","hockey","41","Pau Quemada played for Real Club de Polo for 5 years (2009-2014)."
"How many years between Rubens Barrichello's first and last win in Formula One?","9","f1","51","Eleven years."
"How many years are between Barrichello's best finish in his Stock Car Brasil career and best finish in his IndyCar Series career?","2","f1","51","Sure, here's a small answer within 1 to 10 words:9 years (2012 - 2021)"
"How old was Barrichello when his Formula One career began?","21","f1","51","Rubens Barrichello was 20 years old when his Formula One career began."
"What race did Barrichello win 7 years after his Formula One World Championship career began?","German Grand Prix","f1","51","Sure! Here's a small answer within 1 to 10 words:Barrichello won the Stock Car Brasil championship in 2014."
"What year did Rubens Barrichello have his best finish in his Stock Car Brasil career?","2014","f1","51","Sure! Here's a small answer within 1 to 10 words:2014."
"How old was Rubens Barrichello win he won his last Grand Prix?","37 years old","f1","51","Rubens Barrichello was 37 years old when he won his last Grand Prix."
"How many years was Rubens Barrichello active in his career?","18 years","f1","51","Rubens Barrichello was active in his career for 19 years (1993-2011)."
"How many years did it take Rubens Barrichello to get a win in Formula One?","7","f1","51","Eleven years."
"How many years were between Barrichello's last win and his last entry into a Grand Prix for Formula One?","2","f1","51","Barrichello's last win was in 2009, and his last entry into a Grand Prix for Formula One was in 2011, so the answer is 2 years."
"How many years did Kapil Dev was played the ODI?","16 years played the ODI","cricket","52","Kapil Dev played ODI cricket for 16 years (1978-1994)."
"How much longer did Kapil Dev play for Haryana than Worcestershire?","6 years","cricket","52","Sure! Here's a small answer within 1 to 10 words:Kapil Dev played for Haryana for 17 years, while he played for Worcestershire for 4 years."
"How many days were between Dev's Test debut and his ODI debut?","15","cricket","52","Sure, here's a small answer within 1 to 10 words:4 days."
"How many years before Kev's last ODI did he begin playing for Worcestershire?","10","cricket","52","Sure! Here's a small answer within 1 to 10 words:Kev began playing for Worcestershire 11 years before his last ODI."
"What was the first team that Kapil Dev was associated with?","Haryana","cricket","52","Haryana"
"What team was Kapil Dev associated with for the longest amount of time?","Haryana","cricket","52","Haryana"
"What team was Kapil Dev associated with the most recently?","Haryana","cricket","52","Haryana"
"Which domestice team did Kapil Dev was played in 1982?","Kapil Dev","cricket","52","Haryana"
"Who is the captain of indian cricket test team in 1980?","Kapil Dev","cricket","52","Kapil Dev"
"How many times did Madan Lal reach 5 wickets in innings in Test and ODI?","four","cricket","53","Four times."
"How many more years did Madan Lal spend at Delhi than Punjab?","14","cricket","53","Madan Lal spent 14 more years at Delhi than Punjab."
"When Madan Lal had their test debut, what team were they associated with?","Delhi","cricket","53","India"
"What was the first team associated with Madan Lal?","Punjab","cricket","53","Punjab"
"How much longer did Lal play for Delhi than Punjab?","4","cricket","53","Lal played for Delhi 14 years longer than Punjab."
"How many years are between Madan Lal's last test and his ODI debut?","8","cricket","53","Sure, here's a small answer within 1 to 10 words:11 years."
"What domestic team did Madan Lal play for during his Test debut?","Delhi","cricket","53","Delhi"
"What was the most recent team associated with Madan Lal?","Delhi","cricket","53","Delhi"
"How many days after the anniversary of Madan Lal's first test did he have his last test?","13","cricket","53","Sure, here's a small answer within 1 to 10 words:34 years."
"What was the professional team did Shaun Pollock was represented in 2000?","Warwickshire","cricket","54","Dolphins"
"What was the age when Shaun Pollock played his ODI debut in 1996?","Age of 23","cricket","54","Sure! Here's a small answer within 1 to 10 words:23 years old"
"What was the second team that Shaun Pollock played for?","Warwickshire","cricket","54","Warwickshire"
"What was the last team that Shaun Pollock played for?","Durham","cricket","54","Durham"
"For how many seasons did Shaun Pollock play for the Dolphins?","2","cricket","54","Sure, here's a small answer within 1 to 10 words:4 seasons"
"What team did Pollock play for during the year of his T20I debut?","Dolphins","cricket","54","South Africa"
"How many years longer did Pollock play for KwaZulu-Natal than Warwickshire?","6","cricket","54","Sure! Here's a small answer within 1 to 10 words:Pollock played for KwaZulu-Natal 7 years longer than Warwickshire."
"How old was Pollock during his test debut?","22","cricket","54","Sure! Here's a small answer within 1 to 10 words:Pollock was 22 years old during his test debut."
"How years ago did Shaun Pollock  was played his last T20I?","14 Years ago","cricket","54","Sure! Here's a small answer within 1 to 10 words:14 years ago."
"How long was it between Waqar Younis Last Test and his Last ODI?","2 months","cricket","55","Sure! Here's a small answer within 1 to 10 words:4 years."
"Which domestice team did Waqar Younis was played in 1992?","Surrey","cricket","55","Multan"
"How many years ago did Waqar Younis played his last ODI?","19 Years ago (2003)","cricket","55","Waqar Younis played his last ODI 19 years ago."
"How many total wickets taken by Waqar Younis in his career 1987-2003?","2420 wickets","cricket","55","Sure, here's a small answer within 1 to 10 words:373 wickets."
"How long after Younis played for Allied Bank Limited was the picture taken?","11 years","cricket","55","Sure! Here's a small answer within 1 to 10 words:4 years."
"How many domestic teams did Waqar Younis play for in 1999?","3","cricket","55","Sure, here's a small answer within 1 to 10 words:1999 domestic teams: Rawalpindi, REDCO Pakistan Limited."
"Five years after turning pro, where did Waqar Younis play domestically?","Surrey","cricket","55","Sure! Here's a small answer within 1 to 10 words:Waqar Younis played domestically for Multan, United Bank Limited, Surrey, Glamorgan, Rawalpindi, REDCO Pakistan Limited, Lahore Blues, National Bank of Pakistan, Warwickshire, and Allied Bank Limited."
"What was the last team Waqar Younis played for before the turn of the Millenium?","REDCO Pakistan Limited","cricket","55","Multan"
"How much longer did Younis play for Surrey than Glamorgan?","2 years","cricket","55","Sure, here's a small answer within 1 to 10 words:Waqar Younis played for Surrey for 4 years, while he played for Glamorgan for 2 years."
"What was the age when Sanath Jayasuriya played his Test debut in 2007?","Age of 22","cricket","56","Sure! Here's a small answer within 1 to 10 words:Sanath Jayasuriya was 38 years old when he played his Test debut in 2007."
"How many total international matches played by Sanath Jayasuriya in all formats?","666","cricket","56","Sure, here's a small answer within 1 to 10 words:445 matches."
