question,answer,table_id,answer_type,is_temporal,answer_old,answer_timeunit
How many years did Art Carney as actor since 1939?,54 Years,2,TEMPORAL,Is temporal,54 Years,year
How many total years was Art Carney married to Jean Myers?,28 years,2,TEMPORAL,Is temporal,28 years,year
How many years before he died was Art Carney married for the last time?,23,2,COUNT,Is temporal,23,year
How old was Art Carney when he first got divorced?,47,2,AGE,Is temporal,47,year
How many years ago did Art Carney was died?,19 Years ago,2,TEMPORAL,Is temporal,19 Years ago,year
For how many years had Benedict Cumberbatch been acting when he got married?,17,3,COUNT,Is temporal,17,year
How many years prior to Cumberbatch turning 45 was the picture taken?,2,3,COUNT,Is temporal,2,year
How long after Cumberbatch started his career did he marry Sophie Hunter​?,17 years,3,TEMPORAL,Is temporal,17 years,year
How old was Cumberbatch when his career began?,22,3,AGE,Is temporal,22,year
How old was Benedict Cumberbatch when he started acting?,22,3,AGE,Is temporal,22,year
How many years has Benedict Cumberbatch been acting?,24 years,3,TEMPORAL,Is temporal,24 years,year
For how many years has Benedict Cumberbatch been married?,7,3,COUNT,Is temporal,7,year
How old was Benedict Cumberbatch when he began acting?,22 years old,3,TEMPORAL,Is temporal,22 years old,year
How many years long was Dwayne Johnson's professional wrestling career?,23,7,COUNT,Is temporal,23,year
When was the last time that Dwayne Johnson competed in the ring professionally?,2019,7,TEMPORAL,Is temporal,2019,year
How old was Dwayne Johnson when he began his wrestling career?,24 years old,7,TEMPORAL,Is temporal,24 years old,year
What was the age when Dwayne Johnson as debut as actor?,Age of 27,7,AGE,Is temporal,Age of 27,year
How many years did Dwayne Johnson was in wresting career?,23 Years,7,TEMPORAL,Is temporal,23 Years,year
How many active years did Dwayne Johnson wrestle?,23 years,7,TEMPORAL,Is temporal,23 years,year
How many years was Joan Crawford active?,50,8,COUNT,Is temporal,50,year
how many years Joan Crawford and Franchot Tone live together?,4,8,COUNT,Is temporal,4,year
How many years Joan Crawford is active?,50,8,COUNT,Is temporal,50,year
How many years did Joan Crawford was active carreer?,50 Years (1924–1974),8,TEMPORAL,Is temporal,50 Years (1924–1974),not defined
How many years did Joan Crawford and Alfred Steele was married relatioship?,4 Years (from 1955 to 1959),8,TEMPORAL,Is temporal,4 Years (from 1955 to 1959),not defined
How long did each of Joan Crawford's marriages last?,4,8,UNKNOWN,Is temporal,four,not defined
What was the the age when Hebar Pazardzhik originally retrired from his career?,Age of 39,13,UNKNOWN,Is temporal,Age of 39,year
How many years ago did Hebar Pazardzhik debut his first match?,33 years ago,13,TEMPORAL,Is temporal,33 years ago,year
For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?,5,13,COUNT,Is temporal,5,not defined
How old was Steve Austin when he started his wrestling career?,25,13,AGE,Is temporal,25,year
How many years elapsed between Steve Austin's first retirement and his return match?,19,13,COUNT,Is temporal,19,year
How old was Steve Austin when he began his professional wrestling career?,25 years old,13,TEMPORAL,Is temporal,25 years old,year
How old was Steve Austin when he retired from professional wrestling?,39 years old,13,TEMPORAL,Is temporal,39 years old,year
How many years after the Ethiopian was first established did Mekelle become capital?,601,22,COUNT,Is temporal,601,year
How much longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?,3 years,22,TEMPORAL,Is temporal,3 years,year
How many years did Ethiopian-Adal war was held?,14 Years,22,TEMPORAL,Is temporal,14 Years,year
How long after the constitution was adopted was the monarchy abolished?,44 years,22,TEMPORAL,Is temporal,44 years,year
Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?,85,22,COUNT,Is temporal,85,not defined
How long after playing for Monterrey did Mohamed first manage the team?,15 years,36,TEMPORAL,Is temporal,15 years,year
How many years did Antonio Mohamed manage the team before the team he currently manages?,1 year,36,TEMPORAL,Is temporal,1 year,year
How many years did Antonio Mohamed was played for national team as member?,3 Years (1989-1991),36,TEMPORAL,Is temporal,3 Years (1989-1991),not defined
How many years did Zinedine Zidane was played senior career?,17 Years played,40,TEMPORAL,Is temporal,17 Years played,not defined
How many years did Zinedine Zidane spend in the youth division?,9,40,COUNT,Is temporal,9,year
When did Zinedine Zidane's career start as a senior?,1988,40,TEMPORAL,Is temporal,1988,not defined
How much longer was Zidane's senior career than his youth career?,9 years,40,TEMPORAL,Is temporal,9 years,year
How long after playing for Real Madrid did Zidane become its assistant manager?,7 years,40,TEMPORAL,Is temporal,7 years,year
How many years did Roy Emerson play at an amateur level until he turned pro?,15 years,50,TEMPORAL,Is temporal,15 years,year
How old was Roy Emerson when he began to play professionally?,32 years old,50,TEMPORAL,Is temporal,32 years old,year
When was the last time that Roy Emerson won Wimbleton?,1971,50,TEMPORAL,Is temporal,1971,year
How long after winning a doubles tournament did Roy Emerson win a singles tournament?,2 years,50,TEMPORAL,Is temporal,2 years,year
How many total years of amateur playing and pro playing did Roy Emerson have?,30,50,COUNT,Is temporal,30,not defined
When was the first time that Roy Emerson won the Davis Cup?,1959,50,TEMPORAL,Is temporal,1959,year
How long did it take Roy Emereson to go from amateur to pro?,15 years,50,TEMPORAL,Is temporal,15 years,year
How old was Roy Emerson when he retired from playin professionally?,47 years old,50,TEMPORAL,Is temporal,47 years old,year
When did Roy Emerson first win a Grand Slam Singles Tournament?,1961,50,TEMPORAL,Is temporal,1961,not defined
How long after turning pro did Roy Emerson retire?,15 years,50,TEMPORAL,Is temporal,15 years,year
When was the most recent time that Roy Emerson won the Australian Open?,1969,50,TEMPORAL,Is temporal,1969,year
How old was Roy Emerson when he first won the French Open Doubles?,27,50,AGE,Is temporal,27,year
What year was Roy Emerson inducted into the International Tennis Hall of Fame?,1982,50,TEMPORAL,Is temporal,1982,year
How long did Roy Emerson play in the amateur league before going professional?,15 years,50,TEMPORAL,Is temporal,15 years,year
How long did Roy Emerson play professionally?,15 years,50,TEMPORAL,Is temporal,15 years,year
How many years were between when Nicklaus first won the U.S. Open and last won the Masters Tournament?,24,66,COUNT,Is temporal,24,year
How long after his marriage did Nicklaus turn professional?,1 year,66,TEMPORAL,Is temporal,1 year,year
When was the first time that Jack Nicklaus won a Masters Tournament?,1963,66,TEMPORAL,Is temporal,1963,year
