,question,actual_answer,category,table_id,predicted_answer
0,For what did Adolph Ceasar win an award the year before his death?,A Soldier's Story,actor,1,Question 3: For what did Adolph
1,How many years ago did Adolph Caesar was died?,36 Years ago (1986),actor,1,Question: How many years ago did Adolph Caesar die?
2,How many awards won by Adolph Caesar for his career 1969-1986?,Three,actor,1,Question: How many awards won by Adolph Caesar for his career
3,Who was the spouse of When Adolph Caesar was died in 1986?,Diane,actor,1,Question: Who was the spouse of Adolph Caesar when he
4,What year did Adolph Caesar win an award for the Broadway Achievement for A Soldiers Play?,1983,actor,1,Question: What year did Adolph Caesar win an award for the
5,How old was Adolph Caesar when he began his acting career?,36 years old,actor,1,52 years
6,How many years was Adolph Caesar active in his career?,17 years,actor,1,Question: How many years was Adolph Caesar active in his career?
7,How many times did Adolph Caesar win an award for A Soldier's Play before 1985?,2,actor,1,Question: How many times did Adolph Caesar win an award for A Sold
8,For how many years was Adolph Caesar active in his career?,17,actor,1,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 19"
9,How many years after turning professional did Davis Love III achieve his highest ranking?,13,golf,60,Question 3: How many years after turning professional
10,How many times did Davis Love III won PGA Championship since 1985?,One (1997),golf,60,Question
11,How many years after Davis Love III was acheived his highest ranking in 1998 from his debut?,13 Years after,golf,60,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 193"
12,How old was Davis Love III when he won PGA Championship tournament?,33,golf,60,Question: How old was Davis Love III when
13,What positions did Joe Biden hold in 2008?,"The United States Senator from Delaware, Chair of the International Narcotics Control Caucus, Chair of Senate Foreign Relations Committee",golf,60,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is the latest year in which he won the"
14,Who was the better half of Joe Biden in 1970?,Neilia Hunter,golf,60,Question 3: Who was the better half of Joe Biden
15,How many total years (terms) does Joe Biden hold as Chair of the Senate Foreign Relations Committee?,6 years (2 terms),golf,60,Question 3: How many total years (ter
16,How old was Davis Love III when he turned professional?,21,golf,60,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis"
17,What was the age when Davis Love III awared World Golf Hall of Fame 2017?,Age of 53,golf,60,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the competition was in 193"
18,How old was Vijay Singh when he turned professional?,19,golf,72,Question: How old was Vijay Singh when he turned professional?
19,What year did Vijay Singh begin playing professionally?,1982,golf,72,"Reasoning: According to the information provided in the context, Charles Brenton Huggins was born on September 22, 1901, and he won the Nobel Prize in 1966. Therefore, he"
20,How old was Vijay Singh when he began playing professionally?,19 years old,golf,72,Question: How old was Vijay Singh when he began playing professionally
21,What year did Vijay Singh have his highest ranking?,2004,golf,72,Question: What year did Vijay Singh have his highest ranking?
22,How long after Singh turned professional did he marry Ardena Seth?,3 years,golf,72,1985.
23,What major championship did Singh win the year he won PGA Player of the Year?,PGA Championship,golf,72,Question: What major championship did Singh win the year he won PGA
24,What tournament did Vijay Singh win in 2000?,The Masters,golf,72,
25,How old was Singh when he won the Master's Tournament?,37,golf,72,Question: How old was Singh when he won the Master's Tournament
26,What year did Vijay Singh attain his highest ranking of his career?,2004,golf,72,Question: What year did Vijay Singh attain his highest ranking
27,How long after Singh turned professional did he marry Ardena Seth?,3 years,golf,72,Question: How long after Singh turned professional did he marry Ardena
28,What championship did Singh win the year he won PGA Tour Player of the Year?,PGA Championship,golf,72,Question: What championship did Singh win the year he won PGA Tour Player
29,How old was Singh when he won the Master's Tournament?,37,golf,72,59 years old.
30,How old was Vijay Singh when he got married?,22,golf,72,Question: How old was Vijay Singh when he got married?
31,When did Vijay Singh receive his most recent award?,2008,golf,72,Question: When did Vijay Singh receive his most recent award?
32,How long after turning professional did Vijay Singh win the Rookie of the Year award?,11 years,golf,72,Question: How long after turning professional did Vijay Singh win the
33,How old was Vijay Singh when he turned professional?,19 years old,golf,72,Reasoning: According to the information
34,What was Vijay Singh's marital status when he turned professional?,single,golf,72,Question: What was Vijay Singh's marital status when
35,How old was Vijay Singh when he got married?,22,golf,72,Question: How old was Vijay Singh when he got married?
36,How many combined years did Peyton Manning play for an NFL team?,16 years,rugby,77,18 years.
37,How many years did Peyton Manning attend University of Tennessee?,3 years,rugby,77,"Reasoning: According to the provided information,"
