"question","actual_answer","category","table_id","predicted_answer"
"How many years did Art Carney as actor since 1939?","54 Years","actor","2","Art Carney acted for 54 years, from 1939 to 1993."
"Who was the spouse of Art Carney in 1970?","Barbara Isaac","actor","2","Barbara Isaac"
"How many total years was Art Carney married to Jean Myers?","28 years","actor","2","Art Carney was married to Jean Myers for a total of 25 years, from 1940 to 1965, and then again from 1980 until his death in 2003."
"Which spouse was Art Carney married to the least?","Barbara Isaac","actor","2","Barbara Isaac"
"Who was Art Carney married to when he served in the US Army?","Jean Myers","actor","2","Jean Myers"
"How many years before he died was Art Carney married for the last time?","23","actor","2","Art Carney was married for the last time in 1980, and he died in 2003, so the answer is 23 years."
"Who was Art Carney married to while he served in the military?","Jean Myers","actor","2","Jean Myers"
"How old was Art Carney when he first got divorced?","47","actor","2","Art Carney was 42 years old when he first got divorced in 1965."
"How many years ago did Art Carney was died?","19 Years ago","actor","2","Art Carney died 19 years ago in 2003."
"For how many years had Benedict Cumberbatch been acting when he got married?","17","actor","3","17 years"
"How many years prior to Cumberbatch turning 45 was the picture taken?","2","actor","3","The picture was taken 43 years prior to Cumberbatch turning 45."
"How long after Cumberbatch started his career did he marry Sophie Hunter​?","17 years","actor","3","Benedict Cumberbatch married Sophie Hunter in 2015, 17 years after he started his career in 1998."
"How old was Cumberbatch when his career began?","22","actor","3","22 years old"
"How old was Benedict Cumberbatch when he started acting?","22","actor","3","22 years old"
"How many years has Benedict Cumberbatch been acting?","24 years","actor","3","24 years"
"For how many years has Benedict Cumberbatch been married?","7","actor","3","Benedict Cumberbatch has been married for 7 years (2015-present)."
"Who did Benedict Cumberbatch marry in 2015?","Sophie Hunter","actor","3","Sophie Hunter"
"How old was Benedict Cumberbatch when he began acting?","22 years old","actor","3","22 years old"
"How many different personas has professional wrestler Dwayne Johnson used in the sport?","4","wrestling","7","FourThe four personas used by professional wrestler Dwayne Johnson in the sport are:1. Dwayne Johnson2. Flex Kavana3. Rocky Maivia4. The Rock"
"How many years long was Dwayne Johnson's professional wrestling career?","23","wrestling","7","The answer is 23 years.Here's the calculation:2019 (year of retirement) - 1996 (year of debut) = 23 years"
"When was the last time that Dwayne Johnson competed in the ring professionally?","2019","wrestling","7","The last time Dwayne Johnson competed in the ring professionally was in 2019."
"Who did Dwayne Johnson marry in 1997?","Dany Garcia","wrestling","7","Dany Garcia"
"How old was Dwayne Johnson when he began his wrestling career?","24 years old","wrestling","7","24 years old"
"What was the age when Dwayne Johnson as debut as actor?","Age of 27","wrestling","7","The age when Dwayne Johnson made his debut as an actor was 27 years old, in 1999."
"Who was the spouse of Dwayne Johnson in 2000?","Dany Garcia","wrestling","7","Dany Garcia"
"How many years did Dwayne Johnson was in wresting career?","23 Years","wrestling","7","Dwayne Johnson was in the wrestling industry for 23 years, from 1996 to 2019."
"How many active years did Dwayne Johnson wrestle?","23 years","wrestling","7","The Rock wrestled for 23 years, from 1996 to 2019."
"How many years was Joan Crawford active?","50","actor","8","50 years"
"how many years Joan Crawford and Franchot Tone live together?","4","actor","8","Franchot Tone and Joan Crawford lived together for 4 years (1935-1939)"
"How many times Joan Crawford have been married?","4","actor","8","Four times."
"How many years Joan Crawford is active?","50","actor","8","50 years (1924-1974)"
"Did Joan Crawford have more children or brothers?","children","actor","8","4"
"How many years did Joan Crawford was active carreer?","50 Years (1924–1974)","actor","8","50 years"
"Who was the other half of Joan Crawford in 1937?","Franchot Tone","actor","8","Franchot Tone"
"How many years did Joan Crawford and Alfred Steele was married relatioship?","4 Years (from 1955 to 1959)","actor","8","Sure! Here's the answer to your question:Joan Crawford and Alfred Steele were married for 4 years, from 1955 until his death in 1959."
"How long did each of Joan Crawford's marriages last?","four","actor","8","Sure, here are the lengths of Joan Crawford's marriages:1. Douglas Fairbanks Jr.: 4 years (1929-1933)2. Franchot Tone: 4 years (1935-1939)3. Phillip Terry: 4 years (1942-1946)4. Alfred Steele: 4 years (1955-1959)"
"What was the the age when Hebar Pazardzhik originally retrired from his career?","Age of 39","wrestling","13","38 years old"
"How many years ago did Hebar Pazardzhik debut his first match?","33 years ago","wrestling","13","September 30, 1989"
"For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?","5","wrestling","13","Sure! Here's the answer to the question:Jeanie Clarke was married to Steve Austin for 7 years (1992-1999), while Kathryn Burrhus was married to him for 2 years (1990-1992). Therefore, Jeanie Clarke was married to Steve Austin for 5 more years than Kathryn Burrhus."
"How old was Steve Austin when he started his wrestling career?","25","wrestling","13","25 years old"
"How many years elapsed between Steve Austin's first retirement and his return match?","19","wrestling","13","Sure! Here's the answer to the question:19 years elapsed between Steve Austin's first retirement in 2003 and his return match in 2022."
"How old was Steve Austin when he began his professional wrestling career?","25 years old","wrestling","13","25 years old"
"Who did Steve Austin marry in 1990?","Kathryn Burrhus","wrestling","13","Kathryn Burrhus"
"How old was Steve Austin when he retired from professional wrestling?","39 years old","wrestling","13","48 years old"
"Who was the spouse of Hebar Pazardzhik in 2002?","Debra Marshall","wrestling","13","Debra Marshall"
"How many years after the Ethiopian was first established did Mekelle become capital?","601","empire","22","It took 161 years after the Ethiopian Empire was first established for Mekelle to become its capital."
"The first prime minister of the Ethiopian Empire began when what was the state capital?","Addis Ababa","empire","22","The first prime minister of the Ethiopian Empire was Habte Giyorgis, who served from 1909 to 1927."
"Which was the capital of Ethiopia in 1880?","Mekelle","empire","22","The capital of Ethiopia in 1880 was Addis Ababa."
"How much longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?","3 years","empire","22","Habte Giyorgis was prime minister for 27 years (1909-1927), while Yekuno Amlak was emperor for 14 years (1270-1285). Therefore, Habte Giyorgis was prime minister for longer than Yekuno Amlak was emperor."
"Who was the prime minister of Ethiopia in 1925?","Habte Giyorgis","empire","22","Habte Giyorgis"
"How many years did Ethiopian-Adal war was held?","14 Years","empire","22","The Ethiopian-Adal war was held from 1529 to 1543."
"Who was emperor when the empire was conquered by Italy?","Haile Selassie","empire","22","Haile Selassie"
"How long after the constitution was adopted was the monarchy abolished?","44 years","empire","22","The monarchy was abolished on March 21, 1975, approximately 114 years after the constitution was adopted on July 16, 1931."
"Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?","85","empire","22","Italian Eritrea happened 43 years before the Ethiopian Empire monarchy was abolished."
"How long after playing for Monterrey did Mohamed first manage the team?","15 years","footballer","36","Mohamed managed Monterrey for the first time in 2005, 4 years after he stopped playing for the team."
"How many teams did Antonio Mohamed manage between 2003 and 2006?","5","footballer","36","Between 2003 and 2006, Antonio Mohamed managed 4 teams:1. Zacatepec (2003-2004)2. Morelia (2004)3. Querétaro (2004-2005)4. Chiapas (2005)Therefore, the answer is 4."
"What team did Antonio Mohamed play for in 1990 season?","Huracán","footballer","36","In the 1990 season, Antonio Mohamed played for Huracán."
"How many years did Antonio Mohamed manage the team before the team he currently manages?","1 year","footballer","36","Antonio Mohamed managed the team for 19 years before he currently manages Atlético Mineiro."
"How many years did Antonio Mohamed was played for national team as member?","3 Years (1989-1991)","footballer","36","Antonio Mohamed played for the Argentina national team as a member for 4 years."
"Which team did Antonio Mohamed was manager in 2012?","Tijuana","footballer","36","In 2012, Antonio Mohamed was manager of the team Atlético Mineiro."
"How many teams did Tijuana was worked as manager from 2003-2020?","16 Teams","footballer","36","Tijuana was worked as manager from 2011-2013, and again from 2019-2020.So, the answer is 2."
"How many teams in his senior career did Mohamed play for in the 90's?","6","footballer","36","In the 90's, Mohamed played for 3 teams in his senior career: Huracán, Fiorentina, and Toros Neza."
"What team in his senior career did Mohamed play for the year he played for the  Argentina U20 national team?","Huracán","footballer","36","Huracán"
"How many goals did Zinedine Zidane was posted for Netherlands National team from 1988-2006?","35 goals","footballer","40","Zinedine Zidane did not score any goals for the Netherlands National team from 1988-2006. The information provided in the context states that Zidane played for the France National team, not the Netherlands National team. Therefore, the answer is 0."
"How many years did Zinedine Zidane was played senior career?","17 Years played","footballer","40","Zinedine Zidane played senior career for 17 years."
"How many years did Zinedine Zidane spend in the youth division?","9","footballer","40","Zinedine Zidane spent 7 years in the youth division (1981-1989)."
"When did Zinedine Zidane's career start as a senior?","1988","footballer","40","1989"
"What was the first team that Zinedine Zidane was associated with as a senior?","Cannes","footballer","40","Cannes"
"How much longer was Zidane's senior career than his youth career?","9 years","footballer","40","Zinedine Zidane's senior career spanned 18 years (1989-2006), while his youth career spanned 7 years (1981-1989), so his senior career was 11 years longer than his youth career."
"Which team did Zinedine Zidane was managed in 2020?","Real Madrid","footballer","40","Real Madrid"
"How long after playing for Real Madrid did Zidane become its assistant manager?","7 years","footballer","40","Zinedine Zidane became the assistant manager of Real Madrid in 2013, 12 years after he stopped playing for the team in 2006."
"What team in his senior career did Zidane play for the year he won the  FIFA World Cup?","Juventus","footballer","40","Real Madrid"
"How many years did Roy Emerson play at an amateur level until he turned pro?","15 years","tennis","50","Roy Emerson played at an amateur level for 15 years (1953-1968) before turning pro."
"How old was Roy Emerson when he began to play professionally?","32 years old","tennis","50","27 years old"
"When was the last time that Roy Emerson won Wimbleton?","1971","tennis","50","1965"
"How long after winning a doubles tournament did Roy Emerson win a singles tournament?","2 years","tennis","50","Roy Emerson won a doubles tournament in 1966 and a singles tournament in 1967, so the answer is 1 year."
"How many Davis Cups did Roy Emerson compete in after he turned pro?","4","tennis","50","Roy Emerson competed in 8 Davis Cups after he turned pro in 1968."
"How many total years of amateur playing and pro playing did Roy Emerson have?","30","tennis","50","Roy Emerson had a total of 14 years of amateur playing and 15 years of pro playing."
"When was the first time that Roy Emerson won the Davis Cup?","1959","tennis","50","1959"
"How long did it take Roy Emereson to go from amateur to pro?","15 years","tennis","50","Roy Emerson turned pro in 1968, after playing as an amateur for 15 years."
"How old was Roy Emerson when he retired from playin professionally?","47 years old","tennis","50","57 years old"
"When did Roy Emerson first win a Grand Slam Singles Tournament?","1961","tennis","50","1961"
"How long after turning pro did Roy Emerson retire?","15 years","tennis","50","Roy Emerson retired in 1983, 15 years after he turned pro in 1968."
"Which Grand Slam tournament did Emerson win the first year he won the Davis Cup team competition?","US Open","tennis","50","1961"
"When was the most recent time that Roy Emerson won the Australian Open?","1969","tennis","50","1967"
"How old was Roy Emerson when he first won the French Open Doubles?","27","tennis","50","24 years old"
"How many times did Emerson win multiple Grand Slam doubles in a single year?","3","tennis","50","Roy Emerson won multiple Grand Slam doubles titles in a single year four times:1. 1960: French Open and Wimbledon2. 1961: Australian Open, French Open, and Wimbledon3. 1962: Australian Open and French Open4. 1966: Australian Open and Wimbledon"
"What year was Roy Emerson inducted into the International Tennis Hall of Fame?","1982","tennis","50","1982"
"How long did Roy Emerson play in the amateur league before going professional?","15 years","tennis","50","Roy Emerson played in the amateur league for 15 years (1953-1968) before turning professional."
"How long did Roy Emerson play professionally?","15 years","tennis","50","Roy Emerson played professionally for 15 years, from 1968 to 1983."
"How many years were between when Nicklaus first won the U.S. Open and last won the Masters Tournament?","24","golf","66","The answer to the question is 43 years. Nicklaus first won the U.S. Open in 1962, and he last won the Masters Tournament in 1986."
"How many championships and awards did Nicklaus win in 1975?","4","golf","66","In 1975, Jack Nicklaus won 2 championships and awards:1. The Masters Tournament2. The Bob Jones Award"
"What was the most recent award that Jack Nicklaus won?","Congressional Gold Medal","golf","66","The most recent award that Jack Nicklaus won was the Congressional Gold Medal in 2015."
"How long after his marriage did Nicklaus turn professional?","1 year","golf","66","Jack Nicklaus turned professional in 1961, 1 year after his marriage to Barbara Bash in 1960."
"When was the first time that Jack Nicklaus won a Masters Tournament?","1963","golf","66","The first time Jack Nicklaus won a Masters Tournament was in 1963."
"How many years after turning pro did Jack Nicklaus win a Masters Tournament?","2","golf","66","Jack Nicklaus won his first Masters Tournament in 1963, 2 years after turning professional in 1961."
"How many years had Jack Nicklaus been playing when he won his first Masters Tournament?","2 years","golf","66","Jack Nicklaus had been playing golf professionally for 11 years when he won his first Masters Tournament in 1963."
"How many years had Jack Nicklaus been playing when he won his last PGA as leading money winner?","15 years","golf","66","Jack Nicklaus had been playing for 25 years when he won his last PGA Tour leading money winner title in 1976."
"What was the last year that Jack Nicklaus won a U.S. Open?","1980","golf","66","The last year that Jack Nicklaus won a U.S. Open was 1980."
"How many years were between the time Diegel first won the PGA Championship and when he achieved T16 at the Master's?","6","golf","68","The answer to the question is 7 years. Leo Diegel achieved T16 at the Master's in 1934, and he won the PGA Championship in 1928 and 1929."
"How many years before Diegel died was the picture taken?","19","golf","68","The picture was taken 16 years before Diegel died."
"How long was Leo Diegel married?","17 years","golf","68","Leo Diegel was married for 17 years, from 1934 to 1951."
"How long after Diegel started his pro career did he marry Violet Bird Diegel?","18 years","golf","68","Leo Diegel married Violet Bird Diegel in 1934, 18 years after he started his professional career in 1916."
"What was the last competition that Leo Diegel won?","Masters Tournament","golf","68","The last competition that Leo Diegel won was the 1929 PGA Championship."
"How many years after winning his first competition did Leo Diegel pass away?","31","golf","68","Leo Diegel passed away 15 years after winning his first competition."
"Who was the other half of Leo Diegel in 1940?","Violet Bird Diegel","golf","68","Violet Bird Diegel"
"How many times did Leo Diegel was won the PGA Championship from 1916?","2 Times (1928,1929)","golf","68","2 times"
"How many years ago did Leo Diegel was died?","71 Years ago","golf","68","Leo Diegel died 71 years ago."
"Which did Sam Snead win first, a Masters tournament, or a PGA tournament?","PGA","golf","70","Sam Snead won his first Masters tournament in 1949, and his first PGA tournament in 1942. Therefore, he won the Masters tournament first."
"How many years had Sam Snead been playing professionally when he won the Masters?","15 years","golf","70","35 years"
"What year did Sam Snead begin playing professionally?","1934","golf","70","1934"
"What happened first, Sam Snead's marriage or career?","career","golf","70","Sam Snead's marriage happened first. He married Audrey Karnes Snead in 1940, and his professional golf career began in 1934."
