"question","answer","category","table_id","predicted_answer"
"What was the age when Jenson Button best finish in Super GT GT500 Championship 2018?","Age of 38","f1","0","42 years old"
"What was Jenson Button's age when he won the Super GT GT500 Championship?","38","f1","0","38 years old"
"How long did it take Jenson Button to win his second championship?","9 years","f1","0","Jenson Button won his second championship in 2018, 9 years after his first championship in 2009."
"Where did Jenson Button compete 5 years before he debuted in the Super GT GT500 Championship?","Brazil","f1","0","Formula One World Championship"
"For how many years did Jenson Button's professional career last?","17 years","f1","0","Jenson Button's professional career lasted for 18 years (2000-2017)."
"How old was Jenson Button when he began his professional career?","20","f1","0","20 years old"
"Which country did Jenson Button participated in Formula One World Championship from 2000?","England","f1","0","United Kingdom"
"When did Jenson Button first enter into the Australian Grand Prix?","2000","f1","0","2000"
"How many years ago did Jenson Button last won Brazilian Grand Prix in Formula One World Championship?","10 Years ago (2012)","f1","0","The last time Jenson Button won the Brazilian Grand Prix was in 2012, so the answer is 10 years ago."
"What time is it in Florida if it's 8:40 in the Atlantic Time Zone?","7:40","time zone","33","It is 11:40 AM in Florida."
"Which type of time zone was shown in the table?","Atlantic time zone","time zone","33","Atlantic Time Zone"
"What time is it in the Atlantic Time Zone if it's 10:00 in California?","2:00","time zone","33","It's 1:00 PM in the Atlantic Time Zone."
"What is the time difference between the Atlantic Time Zone and Florida?","1 hour","time zone","33","The time difference between the Atlantic Time Zone and Florida is 1 hour. Florida is in the Eastern Time Zone, which is UTC-05:00, while the Atlantic Time Zone is UTC-04:00."
"What was the current time on 28 june 2022 based on AST?","8.40 AM","time zone","33","08:40"
"How much time difference is between AST and ADT?","1 hour","time zone","33","The time difference between AST and ADT is 1 hour."
"How many UTC offset was present?","two","time zone","34","There is a UTC offset of -07:00 and -06:00 present."
"What was the time zone specified in the table?","Mountain time zone.","time zone","34","Mountain Time Zone (MST/MDT)"
"What was time difference between MST and MDT?","1 hour","time zone","34","The time difference between MST and MDT is 1 hour."
"What's the difference in time between Florida and Colorado","two hours","time zone","34","Florida is 1 hour ahead of Colorado."
"How many different time zones does the US have","six","time zone","34","The US has 4 time zones: Pacific, Mountain, Central, and Eastern."
"If it's 4 p.m. in Los Angeles, California, what time is it in Chicago, Illinois?","6 p.m.","time zone","34","If it's 4 p.m. in Los Angeles, California, which is in the Pacific Time Zone (UTC-08:00), then it would be 7 p.m. in Chicago, Illinois, which is in the Central Time Zone (UTC-06:00)."
"What is the time diffrence between NST and NDT?","1 Hour","time zone","35","NST is 1 hour ahead of NDT."
"How many hours does NDT is behind Coordinated Universal Time (UTC)?","2.30 hours","time zone","35","NDT is 1 hour behind UTC."
"What is the Current time in Newfoundland Time Zone?","Sunday, 10 July 2022, 11:26 pm","time zone","35","The current time in Newfoundland Time Zone is 09:25, 28 June 2022 NDT."
"For what senior year team did Pau Quemada begin to play for the year he won the bronze medal at the World Cup?","Leuven","hockey","41","2005-2006 - Laren"
"Where did the 2009 World Cup take place where Pau Quemada won a bronze medal.","Mönchengladbach","hockey","41","Germany"
"How many years has Pau Quemada been playing in his senior career?","17 years","hockey","41","16 years"
"What is the most recent team that Pau Quemada has been associated with?","Leuven","hockey","41","Leuven"
"What team has Pau Quemada been associated with for the longest in the senior division?","Club Egara","hockey","41","Leuven"
"How many years did the Pau Quemada play in the senior division?","16","hockey","41","Pau Quemada played in the senior division for 16 years (2005-2021)."
"How many years separate when Pau Quemada first started playing for Leuven and the start of of his present membership on the team?","15","hockey","41","The answer to the question is 16 years. Pau Quemada first started playing for Leuven in 2006, and his present membership on the team started in 2021."
"How much longer did Pau Quemada play for Club Egara than Laren?","4 years","hockey","41","Pau Quemada played for Club Egara for 11 years (2000-2011), while he played for Laren for 1 year (2005-2006).Therefore, Pau Quemada played for Club Egara for 10 years longer than he played for Laren."
"How many years did Pau Quemada play for Real Club de Polo?","2 years","hockey","41","Real Club de Polo: 4 years (2009-2011, 2016-2021)"
