"question","answer","category","table_id","predicted_answer"
"How many years did Art Carney as actor since 1939?","54 Years","actor","2","Art Carney acted for 54 years, from 1939 to 1993."
"Who was the spouse of Art Carney in 1970?","Barbara Isaac","actor","2","Barbara Isaac"
"How many total years was Art Carney married to Jean Myers?","28 years","actor","2","Sure! Here's a small answer within 1 to 10 words:Art Carney was married to Jean Myers for 25 years."
"Which spouse was Art Carney married to the least?","Barbara Isaac","actor","2","Barbara Isaac"
"Who was Art Carney married to when he served in the US Army?","Jean Myers","actor","2","Jean Myers"
"How many years before he died was Art Carney married for the last time?","23","actor","2","Sure, here's a small answer within 1 to 10 words:Art Carney was married for the last time in 1980.It has been 42 years since Art Carney's last marriage."
"Who was Art Carney married to while he served in the military?","Jean Myers","actor","2","Jean Myers"
"How old was Art Carney when he first got divorced?","47","actor","2","Art Carney was 42 when he first got divorced."
"How many years ago did Art Carney was died?","19 Years ago","actor","2","Art Carney died 19 years ago."
"For how many years had Benedict Cumberbatch been acting when he got married?","17","actor","3","Eight years."
"How many years prior to Cumberbatch turning 45 was the picture taken?","2","actor","3","Sure! Here's a small answer within 1 to 10 words:45 - 1976 = 2000"
"How long after Cumberbatch started his career did he marry Sophie Hunter​?","17 years","actor","3","Seven years."
"How old was Cumberbatch when his career began?","22","actor","3","Benedict Cumberbatch was 22 when his career began."
"How old was Benedict Cumberbatch when he started acting?","22","actor","3","He was 22."
"How many years has Benedict Cumberbatch been acting?","24 years","actor","3","Fourteen years."
"For how many years has Benedict Cumberbatch been married?","7","actor","3","Seven years."
"Who did Benedict Cumberbatch marry in 2015?","Sophie Hunter","actor","3","Sophie Hunter"
"How old was Benedict Cumberbatch when he began acting?","22 years old","actor","3","He was 22."
"How many different personas has professional wrestler Dwayne Johnson used in the sport?","4","wrestling","7","Four.The RockFlex KavanaRocky MaiviaDwayne Johnson"
"How many years long was Dwayne Johnson's professional wrestling career?","23","wrestling","7","Eight years."
"When was the last time that Dwayne Johnson competed in the ring professionally?","2019","wrestling","7","The last time Dwayne Johnson competed in the ring professionally was in 2019."
"Who did Dwayne Johnson marry in 1997?","Dany Garcia","wrestling","7","Dany Garcia"
"How old was Dwayne Johnson when he began his wrestling career?","24 years old","wrestling","7","Dwayne Johnson was 24 years old when he began his wrestling career in 1996."
"What was the age when Dwayne Johnson as debut as actor?","Age of 27","wrestling","7","Dwayne Johnson was 24 years old when he made his acting debut."
"Who was the spouse of Dwayne Johnson in 2000?","Dany Garcia","wrestling","7","Dany Garcia"
"How many years did Dwayne Johnson was in wresting career?","23 Years","wrestling","7","Eight years."
"How many active years did Dwayne Johnson wrestle?","23 years","wrestling","7","Eight active years."
"How many years was Joan Crawford active?","50","actor","8","Active for 50 years."
"how many years Joan Crawford and Franchot Tone live together?","4","actor","8","Four years."
"How many times Joan Crawford have been married?","4","actor","8","Four times."
"How many years Joan Crawford is active?","50","actor","8","Active for 50 years (1924-1974)."
"Did Joan Crawford have more children or brothers?","children","actor","8","Four"
"How many years did Joan Crawford was active carreer?","50 Years (1924–1974)","actor","8","Active career: 50 years (1924-1974)"
"Who was the other half of Joan Crawford in 1937?","Franchot Tone","actor","8","Douglas Fairbanks Jr."
"How many years did Joan Crawford and Alfred Steele was married relatioship?","4 Years (from 1955 to 1959)","actor","8","Four years."
"How long did each of Joan Crawford's marriages last?","four","actor","8","Here are the lengths of Joan Crawford's marriages:1. Douglas Fairbanks Jr. - 4 years (1929-1933)2. Franchot Tone - 4 years (1935-1939)3. Phillip Terry - 4 years (1942-1946)4. Alfred Steele - 4 years (1955-1959)"
"What was the the age when Hebar Pazardzhik originally retrired from his career?","Age of 39","wrestling","13","Sure! Here's a small answer within 1 to 10 words:38 years old."
"How many years ago did Hebar Pazardzhik debut his first match?","33 years ago","wrestling","13","September 30, 1989"
"For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?","5","wrestling","13","Sure, here's a small answer within 1 to 10 words:3 years."
"How old was Steve Austin when he started his wrestling career?","25","wrestling","13","Steve Austin was 25 years old when he started his wrestling career."
"How many years elapsed between Steve Austin's first retirement and his return match?","19","wrestling","13","Four years."
"How old was Steve Austin when he began his professional wrestling career?","25 years old","wrestling","13","Steve Austin was 25 years old when he began his professional wrestling career."
"Who did Steve Austin marry in 1990?","Kathryn Burrhus","wrestling","13","Kathryn Burrhus"
"How old was Steve Austin when he retired from professional wrestling?","39 years old","wrestling","13","Steve Austin retired from professional wrestling at the age of 38."
"Who was the spouse of Hebar Pazardzhik in 2002?","Debra Marshall","wrestling","13","Debra Marshall"
"How many years after the Ethiopian was first established did Mekelle become capital?","601","empire","22","The answer to the question ""How many years after the Ethiopian Empire was first established did Mekelle become capital?"" is 1871-1889."
"The first prime minister of the Ethiopian Empire began when what was the state capital?","Addis Ababa","empire","22","The first prime minister of the Ethiopian Empire began when the state capital was Gondar."
"Which was the capital of Ethiopia in 1880?","Mekelle","empire","22","Gondar"
"How much longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?","3 years","empire","22","Habte Giyorgis was prime minister for 27 years, while Yekuno Amlak was emperor for 55 years."
"Who was the prime minister of Ethiopia in 1925?","Habte Giyorgis","empire","22","Habte Giyorgis"
"How many years did Ethiopian-Adal war was held?","14 Years","empire","22","The Ethiopian-Adal war lasted from 1529 to 1543, for a total of 14 years."
"Who was emperor when the empire was conquered by Italy?","Haile Selassie","empire","22","Haile Selassie"
"How long after the constitution was adopted was the monarchy abolished?","44 years","empire","22","The monarchy was abolished 21 March 1975, 127 years after the constitution was adopted 16 July 1931."
"Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?","85","empire","22","Italian Eritrea occurred 23 years before the Ethiopian Empire monarchy was abolished."
"How long after playing for Monterrey did Mohamed first manage the team?","15 years","footballer","36","Mohamed managed Monterrey for 5 years before managing the team."
"How many teams did Antonio Mohamed manage between 2003 and 2006?","5","footballer","36","Three teams.Here's a small answer within 1 to 10 words:Zacatepec, Morelia, Querétaro."
"What team did Antonio Mohamed play for in 1990 season?","Huracán","footballer","36","Huracán"
"How many years did Antonio Mohamed manage the team before the team he currently manages?","1 year","footballer","36","Sure! Here's a small answer within 1 to 10 words:Antonio Mohamed managed teams for 19 years before Atlético Mineiro."
"How many years did Antonio Mohamed was played for national team as member?","3 Years (1989-1991)","footballer","36","Sure! Here's a small answer within 1 to 10 words:4 years."
"Which team did Antonio Mohamed was manager in 2012?","Tijuana","footballer","36","Celta"
"How many teams did Tijuana was worked as manager from 2003-2020?","16 Teams","footballer","36","Four teams.Here's a small answer within 1 to 10 words:Tijuana, Huracán, Monterrey, and América."
"How many teams in his senior career did Mohamed play for in the 90's?","6","footballer","36","Sure! Here's a small answer within 1 to 10 words:3 teams."
"What team in his senior career did Mohamed play for the year he played for the  Argentina U20 national team?","Huracán","footballer","36","Huracán"
"How many goals did Zinedine Zidane was posted for Netherlands National team from 1988-2006?","35 goals","footballer","40","Zinedine Zidane scored 31 goals for France between 1988 and 2006."
"How many years did Zinedine Zidane was played senior career?","17 Years played","footballer","40","Sure, here's a small answer within 1 to 10 words:Zinedine Zidane played senior career for 18 years."
"How many years did Zinedine Zidane spend in the youth division?","9","footballer","40","Sure, here's a small answer within 1 to 10 words:Zinedine Zidane spent 7 years in the youth division."
"When did Zinedine Zidane's career start as a senior?","1988","footballer","40","Sure! Here's a small answer within 1 to 10 words:1989."
"What was the first team that Zinedine Zidane was associated with as a senior?","Cannes","footballer","40","Cannes"
"How much longer was Zidane's senior career than his youth career?","9 years","footballer","40","Sure! Here's a small answer within 1 to 10 words:Zidane's senior career was 10 years longer than his youth career."
"Which team did Zinedine Zidane was managed in 2020?","Real Madrid","footballer","40","Real Madrid"
"How long after playing for Real Madrid did Zidane become its assistant manager?","7 years","footballer","40","Zidane became Real Madrid's assistant manager in 2013, 12 years after he stopped playing for the club in 2006."
"What team in his senior career did Zidane play for the year he won the  FIFA World Cup?","Juventus","footballer","40","Sure! Here's a small answer within 1 to 10 words:Real Madrid"
"How many years did Roy Emerson play at an amateur level until he turned pro?","15 years","tennis","50","Roy Emerson played at an amateur level for 15 years (1953-1968) before turning pro."
"How old was Roy Emerson when he began to play professionally?","32 years old","tennis","50","Roy Emerson was 25 years old when he began to play professionally."
"When was the last time that Roy Emerson won Wimbleton?","1971","tennis","50","Roy Emerson last won Wimbledon in 1965."
"How long after winning a doubles tournament did Roy Emerson win a singles tournament?","2 years","tennis","50","Roy Emerson won a singles tournament 2 years after winning a doubles tournament."
"How many Davis Cups did Roy Emerson compete in after he turned pro?","4","tennis","50","Roy Emerson competed in 8 Davis Cups after he turned pro."
"How many total years of amateur playing and pro playing did Roy Emerson have?","30","tennis","50","Roy Emerson had 16 years of amateur playing and 15 years of pro playing."
"When was the first time that Roy Emerson won the Davis Cup?","1959","tennis","50","Sure! Here's a small answer within 1 to 10 words:1959"
"How long did it take Roy Emereson to go from amateur to pro?","15 years","tennis","50","Roy Emerson turned pro in 1968, after playing amateur tennis for 15 years."
"How old was Roy Emerson when he retired from playin professionally?","47 years old","tennis","50","Roy Emerson retired from professional tennis in 1983 at the age of 47."
"When did Roy Emerson first win a Grand Slam Singles Tournament?","1961","tennis","50","Roy Emerson first won a Grand Slam Singles Tournament in 1961 at the Australian Open."
"How long after turning pro did Roy Emerson retire?","15 years","tennis","50","Roy Emerson retired 15 years after turning pro."
"Which Grand Slam tournament did Emerson win the first year he won the Davis Cup team competition?","US Open","tennis","50","The first Grand Slam tournament that Roy Emerson won was the Australian Open in 1961."
"When was the most recent time that Roy Emerson won the Australian Open?","1969","tennis","50","Roy Emerson won the Australian Open in 1961, 1963, 1964, 1965, 1966, and 1967."
"How old was Roy Emerson when he first won the French Open Doubles?","27","tennis","50","Roy Emerson was 22 years old when he first won the French Open Doubles."
"How many times did Emerson win multiple Grand Slam doubles in a single year?","3","tennis","50","Emerson won multiple Grand Slam doubles titles in a single year 4 times."
"What year was Roy Emerson inducted into the International Tennis Hall of Fame?","1982","tennis","50","Roy Emerson was inducted into the International Tennis Hall of Fame in 1982."
"How long did Roy Emerson play in the amateur league before going professional?","15 years","tennis","50","Roy Emerson played in the amateur league for 15 years before turning professional in 1968."
"How long did Roy Emerson play professionally?","15 years","tennis","50","Roy Emerson played professionally for 15 years (1968-1983)."
"How many years were between when Nicklaus first won the U.S. Open and last won the Masters Tournament?","24","golf","66","Sure! Here's a small answer within 1 to 10 words:49 years."
"How many championships and awards did Nicklaus win in 1975?","4","golf","66","Two."
"What was the most recent award that Jack Nicklaus won?","Congressional Gold Medal","golf","66","Jenkins Medal Awards 2019"
"How long after his marriage did Nicklaus turn professional?","1 year","golf","66","Jack Nicklaus turned professional in 1961, 1 year after his marriage to Barbara Bash in 1960."
"When was the first time that Jack Nicklaus won a Masters Tournament?","1963","golf","66","Sure! Here's a small answer within 1 to 10 words:1963."
"How many years after turning pro did Jack Nicklaus win a Masters Tournament?","2","golf","66","Five years."
"How many years had Jack Nicklaus been playing when he won his first Masters Tournament?","2 years","golf","66","Jack Nicklaus had been playing for 12 years when he won his first Masters Tournament in 1963."
"How many years had Jack Nicklaus been playing when he won his last PGA as leading money winner?","15 years","golf","66","Sure! Here's a small answer within 1 to 10 words:47 years."
"What was the last year that Jack Nicklaus won a U.S. Open?","1980","golf","66","Sure! Here's a small answer within 1 to 10 words:1980"
"How many years were between the time Diegel first won the PGA Championship and when he achieved T16 at the Master's?","6","golf","68","Four years."
"How many years before Diegel died was the picture taken?","19","golf","68","Leo Diegel died 1951 - 1932 = 19 years before the picture was taken."
"How long was Leo Diegel married?","17 years","golf","68","Leo Diegel was married for 17 years."
"How long after Diegel started his pro career did he marry Violet Bird Diegel?","18 years","golf","68","Leo Diegel married Violet Bird Diegel in 1934, 18 years after he started his professional career."
"What was the last competition that Leo Diegel won?","Masters Tournament","golf","68","PGA Championship (1928, 1929)"
"How many years after winning his first competition did Leo Diegel pass away?","31","golf","68","Leo Diegel passed away 19 years after winning his first competition."
"Who was the other half of Leo Diegel in 1940?","Violet Bird Diegel","golf","68","Violet Bird Diegel"
"How many times did Leo Diegel was won the PGA Championship from 1916?","2 Times (1928,1929)","golf","68","Twice."
"How many years ago did Leo Diegel was died?","71 Years ago","golf","68","Leo Diegel died 71 years ago."
"Which did Sam Snead win first, a Masters tournament, or a PGA tournament?","PGA","golf","70","PGA tournament."
"How many years had Sam Snead been playing professionally when he won the Masters?","15 years","golf","70","Sam Snead had been playing professionally for 35 years when he won the Masters in 1967."
"What year did Sam Snead begin playing professionally?","1934","golf","70","Sure! Here's a small answer within 1 to 10 words:1934"
"What happened first, Sam Snead's marriage or career?","career","golf","70","Sam Snead's marriage happened first. He married Audrey Karnes Snead in 1940, and his professional golf career began in 1934."
"How many years separate the time Sam Snead began playing professionally and his death?","68 years","golf","70","Sam Snead passed away on May 23, 2002, and he turned professional in 1934, so the answer to the question is 68 years."
"How many years before he married Audrey Karnes Snead did Snead begin his pro career?","6","golf","70","Sure, here's a small answer within 1 to 10 words:43 years."
"How many championships and awards did Snead win in 1949?","5","golf","70","Sure, here's a small answer within 1 to 10 words:3 championships and 4 awards."
"How long after starting his pro career did Snead win his first championship?","8 years","golf","70","Seven years."
"How old was Sam Snead when he turned professional?","32","golf","70","Sam Snead was 22 years old when he turned professional in 1934."
"What year was Chuck Howley drafted into the NFL?","1958","rugby","74","Sure! Here's a small answer within 1 to 10 words:1958"
"How many years did Chuck Howley play for the Los Raiders?","12","rugby","74","Chuck Howley played for the Los Raiders for 13 years (1961-1973)."
"What was the total number of years that Chuck Howley was a 5× First-team All-Pro?","4","rugby","74","Sure, here's a small answer within 1 to 10 words:5 years"
"How many times did Chuck Howley play in the Pro Bowl when he was with the Raiders?","6","rugby","74","Sure, here's a small answer within 1 to 10 words:5 times"
