,Unnamed: 0,question,answer,category,table_id,explicit,implicit,before_related,after_related,duration_related,max_operator,min_operator,count_operator,sum_operator,difference_operator,average_operator,comparison_operator,ordinal,answer_type
0,0,How many years prior to Davis's death did she marry Harmon Oscar Nelson?,57,actor,4,True,False,True,False,False,False,False,True,False,False,False,False,False,COUNT
1,1,How much longer was Davis married to Gary Merrill than Arthur Farnsworth?,7 years,actor,4,False,True,False,False,True,False,False,False,False,False,False,False,False,TEMPORAL
2,2,How long after Davis career began did she take the photo?,6,actor,4,False,True,False,True,False,False,False,False,False,False,False,False,False,UNKNOWN
3,3,Who was Bette Davis married to in 1942?,Arthur Farnsworth,actor,4,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
4,4,When was the first time that Bette Davis became a widow?,1943,actor,4,False,True,False,False,False,False,False,False,False,False,False,False,True,TEMPORAL
5,5,What were the total number of years that Bette Davis was active in her career?,60 years,actor,4,True,False,False,False,False,False,False,False,True,False,False,False,False,TEMPORAL
6,6,Who was the first person that Bette Davis was married to?,Harmon Oscar Nelson,actor,4,False,True,False,False,False,False,False,False,False,False,False,False,True,PERSON
7,7,How long was Bette Davis married to Gary Merrill?,10 years,actor,4,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
8,8,How many years had Bette Davis been acting when she married Harmon Oscar Nelson?,3 years,actor,4,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
9,9,What is the total number of years that Carol Channing was married to one person or another?,57,actor,5,True,False,False,False,False,False,False,False,True,False,False,False,False,COUNT
10,10,Who did actress Carol Channing marry at the age of 20?,Theodore Naidish,actor,5,False,True,False,False,False,False,False,False,False,False,False,False,False,PERSON
11,11,How many years was Carol Channing active in her career?,76 years,actor,5,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
12,12,How many spouses did actress Carol Channing have between 1941 and 2011?,4,actor,5,True,False,False,False,True,False,False,True,False,False,False,False,False,COUNT
13,13,What was the age when Carol Channing married Harry Kullijian in 2003?,Age of 82,actor,5,True,False,False,False,False,False,False,False,False,False,False,False,False,AGE
14,14,How old was Carol Channing when she began her career?,20 years old,actor,5,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
15,15,Who did Carol Channing marry in 1953?,Alex Carson,actor,5,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
16,16,Who was the spouse of Carol Channing in 1943?,Theodore Naidish,actor,5,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
17,17,How many years did Carol Channing was in acting since 1941?,76 Years,actor,5,True,False,False,False,True,False,False,True,False,False,False,False,False,TEMPORAL
18,18,How long after Carroll Baker's career began was her notable work How the West Was Won?,10 years,actor,6,False,True,False,True,False,False,False,False,False,False,False,False,False,TEMPORAL
19,19,What was the last work that most people would know Carroll Baker from?,Kindergarten Cop,actor,6,False,True,True,False,False,True,False,False,False,False,False,False,True,UNKNOWN
20,20,How much longer was Baker's marriage to Donald Burton than to Jack Garfein?,15 years,actor,6,False,True,False,False,True,False,False,False,False,False,False,False,False,TEMPORAL
21,21,Who was Carroll Baker married to when she made Something Wild?,Jack Garfein,actor,6,False,True,False,False,False,False,False,False,False,False,False,False,False,PERSON
22,22,When did Carroll Baker get married to her first husband?,1953,actor,6,False,True,False,False,False,False,False,False,False,False,False,False,True,TEMPORAL
23,23,How many years before her career ended was Baker in Kindergarten Cop?,13,actor,6,True,False,True,False,False,False,False,True,False,False,False,False,False,COUNT
24,24,Who was Carroll Baker married to the longest?,Donald Burton,actor,6,False,True,False,False,False,False,False,False,False,False,False,False,False,PERSON
25,25,How many years was Carroll Baker's acting career?,51 years,actor,6,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
26,26,How many years was Carroll Baker married to Jack Garfein?,16 years,actor,6,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
27,27,How many years had Carroll Baker been acting when Native Son was released in 1986?,34 years,actor,6,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
28,28,How many years after she retired did Carroll Baker's third husband die?,4,actor,6,True,False,False,True,False,False,False,True,False,False,False,False,True,COUNT
29,29,Which husband was Carroll Baker married to for longer?,second one,actor,6,False,True,False,False,True,False,False,False,False,False,False,False,False,UNKNOWN
30,30,When did Johnny Weissmuller first get married?,1931,swimming,9,False,True,False,False,False,False,False,False,False,False,False,False,True,TEMPORAL
31,31,How many gold medals won by Johnny Weissmuller in Olympic Games?,Five,swimming,9,False,True,False,False,False,False,False,True,False,False,False,False,False,COUNT
32,32,How long was Johnny Weissmuller's shortest marriage?,2 years,swimming,9,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
33,33,What was the last year that Johnny Weissmuller won a medal in the Olympics?,1928,swimming,9,True,False,True,False,False,False,False,False,False,False,False,False,True,TEMPORAL
34,34,Where were the 1924 Olympics held when Johnny Weissmuller won three gold medals?,Paris,swimming,9,True,False,False,False,False,False,False,False,False,False,False,False,False,PLACE
35,35,What year did Johnny Weissmuller win three gold medals in the Olympics?,1924,swimming,9,True,False,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
36,36,What was the last time that Johnny Weissmuller received a gold medal?,1928,swimming,9,False,True,True,False,False,False,False,False,False,False,False,False,True,UNKNOWN
37,37,Who was the other half of Johnny Weissmuller in 1945?,Beryl Scott,swimming,9,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
38,38,How many years did Johnny Weissmuller career in summing?,47 Years,swimming,9,True,False,False,False,False,False,True,True,True,False,False,False,False,TEMPORAL
39,39,how many times Karen Black got divorce?,3,actor,10,False,True,False,False,False,False,False,True,False,False,False,False,False,COUNT
40,40,How many years Karen Black and Robert Burton live together?,1,actor,10,True,False,False,False,False,False,False,True,False,False,False,False,False,COUNT
41,41,Number of children does Karen Black have?,3,actor,10,False,True,False,False,False,False,False,False,False,False,False,False,False,COUNT
42,42,How old was Ziegler when her career began?,21,actor,10,False,True,False,False,False,False,False,False,False,False,False,False,False,AGE
43,43,How long after beginning her career did Ziegler marry Robert Burton?,13 years,actor,10,False,True,False,True,False,False,False,False,False,False,False,False,False,TEMPORAL
44,44,Who did Karen Black marry in 1987?,Stephen Eckelberry,actor,10,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
45,45,How old was Karen Black when she began her acting career?,21 years old,actor,10,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
46,46,How long was Ziegler married to Stephen Eckelberry before she died?,26 years,actor,10,False,True,True,False,False,False,False,False,False,False,False,False,False,TEMPORAL
47,47,How many years did Karen Black act?,53 years,actor,10,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
48,48,Who did Michael Fassbender marry in 2017?,Alicia Vikander,actor,11,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
49,49,Which of Fassbender's previous series began 2 years prior to his best finish in the European Le Mans Series?,Porsche Driving Experience,actor,11,True,False,True,False,False,False,False,False,False,False,False,False,False,UNKNOWN
50,50,How old was Michael Fassbender when he started working in the industry?,24,actor,11,False,True,False,False,False,False,False,False,False,False,False,False,False,AGE
51,51,What was Michael Fassbender's marital status when he first started working?,single,actor,11,False,True,False,False,False,False,False,False,False,False,False,False,True,UNKNOWN
52,52,How long had Michael Fassbender been working in the industry when he got married?,16 years,actor,11,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
53,53,How many years after the beginning of his career did Fassbender marry Alicia Vikander?,16,actor,11,True,False,False,True,False,False,False,True,False,False,False,False,False,COUNT
54,54,How long has Michael Fassbender been active in his career?,21 years,actor,11,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
55,55,How old was Michael Fassbender when he began his career?,24 years old,actor,11,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
56,56,How old was Fassbender during his European Le Mans Series career debut season?,43,actor,11,True,False,False,False,True,False,False,False,False,False,False,False,False,AGE
57,57,How long in total was Patricia Arquette married?,11 years,actor,12,False,True,False,False,False,False,False,False,True,False,False,False,False,TEMPORAL
58,58,How many famous sisters does Patricia Arquette have?,two,actor,12,False,True,False,False,False,False,False,True,False,False,False,False,False,COUNT
59,59,How long has Patricia Arquette been acting in her career?,39 years,actor,12,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
60,60,How old was Patricia Arquette when she began acting?,13 years old,actor,12,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
61,61,Who did Patricia Arquette marry in 1995?,Nicolas Cage,actor,12,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
62,62,Patricia Arquette and Thomas Jane got divorced at?,2011,actor,12,False,True,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN
63,63,How many children's Patricia Arquette have?,2,actor,12,False,True,False,False,False,False,False,True,False,False,False,False,False,COUNT
64,64,Patricia Arquette and Nicolas Cage live together for how long?,6 years,actor,12,False,True,False,False,True,False,False,False,False,False,False,False,False,TEMPORAL
65,65,Which of Patricia Arquette's marriages was longest?,first,actor,12,False,True,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN
66,66,Who was the spouse of Triple H in 2005?,Stephanie McMahon,wrestling,14,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
67,67,How many years was Triple H active in wrestling career?,30 Years (1992–2022),wrestling,14,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
