,Unnamed: 0,question,answer,category,table_id,explicit,implicit,before_related,after_related,duration_related,max_operator,min_operator,count_operator,sum_operator,difference_operator,average_operator,comparison_operator,ordinal,answer_type
0,0,What was the age when Jenson Button best finish in Super GT GT500 Championship 2018?,Age of 38,f1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,AGE
1,1,What was Jenson Button's age when he won the Super GT GT500 Championship?,38,f1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN
2,2,How long did it take Jenson Button to win his second championship?,9 years,f1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,TEMPORAL
3,3,Where did Jenson Button compete 5 years before he debuted in the Super GT GT500 Championship?,Brazil,f1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,PLACE
4,4,For how many years did Jenson Button's professional career last?,17 years,f1,0,True,False,False,False,True,False,False,True,False,False,False,False,False,TEMPORAL
5,5,How old was Jenson Button when he began his professional career?,20,f1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,AGE
6,6,Which country did Jenson Button participated in Formula One World Championship from 2000?,England,f1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,PLACE
7,7,When did Jenson Button first enter into the Australian Grand Prix?,2000,f1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,TEMPORAL
8,8,How many years ago did Jenson Button last won Brazilian Grand Prix in Formula One World Championship?,10 Years ago (2012),f1,0,True,False,True,False,False,False,False,True,False,False,False,False,True,TEMPORAL
9,9,What time is it in Florida if it's 8:40 in the Atlantic Time Zone?,7:40,time zone,33,True,False,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
10,10,Which type of time zone was shown in the table?,Atlantic time zone,time zone,33,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
11,11,What time is it in the Atlantic Time Zone if it's 10:00 in California?,2:00,time zone,33,True,False,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
12,12,What is the time difference between the Atlantic Time Zone and Florida?,1 hour,time zone,33,True,False,False,False,True,False,False,False,False,True,False,False,False,TEMPORAL
13,13,What was the current time on 28 june 2022 based on AST?,8.40 AM,time zone,33,True,False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN
14,14,How much time difference is between AST and ADT?,1 hour,time zone,33,True,False,False,False,True,False,False,False,False,True,False,False,False,TEMPORAL
15,15,How many UTC offset was present?,two,time zone,34,False,True,False,False,False,False,False,True,False,False,False,False,False,COUNT
16,16,What was the time zone specified in the table?,Mountain time zone.,time zone,34,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
17,17,What was time difference between MST and MDT?,1 hour,time zone,34,True,False,False,False,True,False,False,False,False,True,False,False,False,TEMPORAL
18,18,What's the difference in time between Florida and Colorado,two hours,time zone,34,True,False,False,False,True,False,False,False,False,True,False,False,False,TEMPORAL
19,19,How many different time zones does the US have,six,time zone,34,False,True,False,False,False,False,False,True,False,False,False,False,False,COUNT
20,20,"If it's 4 p.m. in Los Angeles, California, what time is it in Chicago, Illinois?",6 p.m.,time zone,34,True,False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN
21,21,What is the time diffrence between NST and NDT?,1 Hour,time zone,35,False,True,False,False,True,False,False,False,False,False,False,False,False,TEMPORAL
22,22,How many hours does NDT is behind Coordinated Universal Time (UTC)?,2.30 hours,time zone,35,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
23,23,What is the Current time in Newfoundland Time Zone?,"Sunday, 10 July 2022, 11:26 pm",time zone,35,False,True,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
24,24,For what senior year team did Pau Quemada begin to play for the year he won the bronze medal at the World Cup?,Leuven,hockey,41,True,False,False,False,False,False,False,False,False,False,False,False,False,ORGANIZATION
25,25,Where did the 2009 World Cup take place where Pau Quemada won a bronze medal.,Mönchengladbach,hockey,41,True,False,False,False,False,False,False,False,False,False,False,False,False,PLACE
26,26,How many years has Pau Quemada been playing in his senior career?,17 years,hockey,41,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
27,27,What is the most recent team that Pau Quemada has been associated with?,Leuven,hockey,41,False,True,False,False,False,True,False,False,False,False,False,False,False,ORGANIZATION
28,28,What team has Pau Quemada been associated with for the longest in the senior division?,Club Egara,hockey,41,False,True,False,False,False,False,False,False,False,False,False,False,False,ORGANIZATION
29,29,How many years did the Pau Quemada play in the senior division?,16,hockey,41,True,False,False,False,False,False,False,True,False,False,False,False,False,COUNT
30,30,How many years separate when Pau Quemada first started playing for Leuven and the start of of his present membership on the team?,15,hockey,41,True,False,False,False,False,False,False,True,False,False,False,False,True,COUNT
31,31,How much longer did Pau Quemada play for Club Egara than Laren?,4 years,hockey,41,False,True,False,False,True,False,False,False,False,False,False,False,False,TEMPORAL
32,32,How many years did Pau Quemada play for Real Club de Polo?,2 years,hockey,41,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
33,33,How many years between Rubens Barrichello's first and last win in Formula One?,9,f1,51,True,False,True,False,True,False,False,True,False,False,False,False,True,COUNT
34,34,How many years are between Barrichello's best finish in his Stock Car Brasil career and best finish in his IndyCar Series career?,2,f1,51,True,False,False,False,True,False,False,True,False,False,False,False,False,COUNT
35,35,How old was Barrichello when his Formula One career began?,21,f1,51,False,True,False,False,False,False,False,False,False,False,False,False,False,AGE
36,36,What race did Barrichello win 7 years after his Formula One World Championship career began?,German Grand Prix,f1,51,True,False,False,True,False,False,False,False,False,False,False,False,False,UNKNOWN
37,37,What year did Rubens Barrichello have his best finish in his Stock Car Brasil career?,2014,f1,51,True,False,False,False,False,False,False,False,False,False,False,False,False,TEMPORAL
38,38,How old was Rubens Barrichello win he won his last Grand Prix?,37 years old,f1,51,False,True,True,False,False,False,False,False,False,False,False,False,True,TEMPORAL
39,39,How many years was Rubens Barrichello active in his career?,18 years,f1,51,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
40,40,How many years did it take Rubens Barrichello to get a win in Formula One?,7,f1,51,True,False,False,False,False,False,False,True,False,False,False,False,False,COUNT
41,41,How many years were between Barrichello's last win and his last entry into a Grand Prix for Formula One?,2,f1,51,True,False,True,False,True,False,False,True,False,False,False,False,True,COUNT
42,42,How many years did Kapil Dev was played the ODI?,16 years played the ODI,cricket,52,True,False,False,False,False,False,False,True,False,False,False,False,False,TEMPORAL
43,43,How much longer did Kapil Dev play for Haryana than Worcestershire?,6 years,cricket,52,False,True,False,False,True,False,False,False,False,False,False,False,False,TEMPORAL
44,44,How many days were between Dev's Test debut and his ODI debut?,15,cricket,52,True,False,False,False,True,False,False,True,False,False,False,False,False,COUNT
45,45,How many years before Kev's last ODI did he begin playing for Worcestershire?,10,cricket,52,True,False,True,False,False,False,False,True,False,False,False,False,True,COUNT
46,46,What was the first team that Kapil Dev was associated with?,Haryana,cricket,52,False,True,False,False,False,False,False,False,False,False,False,False,True,ORGANIZATION
47,47,What team was Kapil Dev associated with for the longest amount of time?,Haryana,cricket,52,True,False,False,False,False,False,False,False,False,False,False,False,False,ORGANIZATION
48,48,What team was Kapil Dev associated with the most recently?,Haryana,cricket,52,False,True,False,False,False,True,False,False,False,False,False,False,False,ORGANIZATION
49,49,Which domestice team did Kapil Dev was played in 1982?,Kapil Dev,cricket,52,True,False,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN
50,50,Who is the captain of indian cricket test team in 1980?,Kapil Dev,cricket,52,True,False,False,False,False,False,False,False,False,False,False,False,False,PERSON
51,51,How many times did Madan Lal reach 5 wickets in innings in Test and ODI?,four,cricket,53,False,True,False,False,False,False,False,True,False,False,False,False,False,COUNT
52,52,How many more years did Madan Lal spend at Delhi than Punjab?,14,cricket,53,True,False,False,False,False,False,False,True,False,False,False,True,False,COUNT
53,53,"When Madan Lal had their test debut, what team were they associated with?",Delhi,cricket,53,False,True,False,False,False,False,False,False,False,False,False,False,False,UNKNOWN
54,54,What was the first team associated with Madan Lal?,Punjab,cricket,53,False,True,False,False,False,False,False,False,False,False,False,False,True,ORGANIZATION
55,55,How much longer did Lal play for Delhi than Punjab?,4,cricket,53,False,True,False,False,True,False,False,False,False,False,False,False,False,UNKNOWN
56,56,How many years are between Madan Lal's last test and his ODI debut?,8,cricket,53,True,False,True,False,True,False,False,True,False,False,False,False,True,COUNT
57,57,What domestic team did Madan Lal play for during his Test debut?,Delhi,cricket,53,False,True,False,False,True,False,False,False,False,False,False,False,False,ORGANIZATION
58,58,What was the most recent team associated with Madan Lal?,Delhi,cricket,53,False,True,False,False,False,True,False,False,False,False,False,False,False,ORGANIZATION
59,59,How many days after the anniversary of Madan Lal's first test did he have his last test?,13,cricket,53,True,False,True,True,False,False,False,True,False,False,False,False,True,COUNT
60,60,What was the professional team did Shaun Pollock was represented in 2000?,Warwickshire,cricket,54,True,False,False,False,False,False,False,False,False,False,False,False,False,ORGANIZATION
61,61,What was the age when Shaun Pollock played his ODI debut in 1996?,Age of 23,cricket,54,True,False,False,False,False,False,False,False,False,False,False,False,False,AGE
62,62,What was the second team that Shaun Pollock played for?,Warwickshire,cricket,54,False,True,False,False,False,False,False,False,False,False,False,False,True,ORGANIZATION
63,63,What was the last team that Shaun Pollock played for?,Durham,cricket,54,False,True,True,False,False,False,False,False,False,False,False,False,True,ORGANIZATION
64,64,For how many seasons did Shaun Pollock play for the Dolphins?,2,cricket,54,True,False,False,False,True,False,False,True,False,False,False,False,False,COUNT
65,65,What team did Pollock play for during the year of his T20I debut?,Dolphins,cricket,54,True,False,False,False,True,False,False,False,False,False,False,False,False,ORGANIZATION
66,66,How many years longer did Pollock play for KwaZulu-Natal than Warwickshire?,6,cricket,54,True,False,False,False,True,False,False,True,False,False,False,False,False,COUNT
