question,answer,table_id,answer_type,is_temporal
How many years did Art Carney as actor since 1939?,54 Years,2,TEMPORAL,True
How many total years was Art Carney married to Jean Myers?,28 years,2,TEMPORAL,True
Which spouse was Art Carney married to the least?,Barbara Isaac,2,UNKNOWN,False
How many years before he died was Art Carney married for the last time?,23,2,COUNT,True
How old was Art Carney when he first got divorced?,47,2,AGE,True
How many years ago did Art Carney was died?,19 Years ago,2,TEMPORAL,True
For how many years had Benedict Cumberbatch been acting when he got married?,17,3,COUNT,True
How many years prior to Cumberbatch turning 45 was the picture taken?,2,3,COUNT,True
How long after Cumberbatch started his career did he marry Sophie Hunter​?,17 years,3,TEMPORAL,True
How old was Cumberbatch when his career began?,22,3,AGE,True
How old was Benedict Cumberbatch when he started acting?,22,3,AGE,True
How many years has Benedict Cumberbatch been acting?,24 years,3,TEMPORAL,True
For how many years has Benedict Cumberbatch been married?,7,3,COUNT,True
How old was Benedict Cumberbatch when he began acting?,22 years old,3,TEMPORAL,True
How many different personas has professional wrestler Dwayne Johnson used in the sport?,4,7,COUNT,False
How many years long was Dwayne Johnson's professional wrestling career?,23,7,COUNT,True
When was the last time that Dwayne Johnson competed in the ring professionally?,2019,7,TEMPORAL,True
How old was Dwayne Johnson when he began his wrestling career?,24 years old,7,TEMPORAL,True
What was the age when Dwayne Johnson as debut as actor?,Age of 27,7,AGE,True
How many years did Dwayne Johnson was in wresting career?,23 Years,7,TEMPORAL,True
How many active years did Dwayne Johnson wrestle?,23 years,7,TEMPORAL,True
How many years was Joan Crawford active?,50,8,COUNT,True
how many years Joan Crawford and Franchot Tone live together?,4,8,COUNT,True
How many times Joan Crawford have been married?,4,8,COUNT,False
How many years Joan Crawford is active?,50,8,COUNT,True
Did Joan Crawford have more children or brothers?,children,8,UNKNOWN,False
How many years did Joan Crawford was active carreer?,50 Years (1924–1974),8,TEMPORAL,True
How many years did Joan Crawford and Alfred Steele was married relatioship?,4 Years (from 1955 to 1959),8,TEMPORAL,True
How long did each of Joan Crawford's marriages last?,four,8,UNKNOWN,True
What was the the age when Hebar Pazardzhik originally retrired from his career?,Age of 39,13,UNKNOWN,True
How many years ago did Hebar Pazardzhik debut his first match?,33 years ago,13,TEMPORAL,True
For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?,5,13,COUNT,True
How old was Steve Austin when he started his wrestling career?,25,13,AGE,True
How many years elapsed between Steve Austin's first retirement and his return match?,19,13,COUNT,True
How old was Steve Austin when he began his professional wrestling career?,25 years old,13,TEMPORAL,True
How old was Steve Austin when he retired from professional wrestling?,39 years old,13,TEMPORAL,True
How many years after the Ethiopian was first established did Mekelle become capital?,601,22,COUNT,True
The first prime minister of the Ethiopian Empire began when what was the state capital?,Addis Ababa,22,UNKNOWN,True
How much longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?,3 years,22,TEMPORAL,True
How many years did Ethiopian-Adal war was held?,14 Years,22,TEMPORAL,True
How long after the constitution was adopted was the monarchy abolished?,44 years,22,TEMPORAL,True
Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?,85,22,COUNT,True
How long after playing for Monterrey did Mohamed first manage the team?,15 years,36,TEMPORAL,True
How many teams did Antonio Mohamed manage between 2003 and 2006?,5,36,COUNT,False
How many years did Antonio Mohamed manage the team before the team he currently manages?,1 year,36,TEMPORAL,True
How many years did Antonio Mohamed was played for national team as member?,3 Years (1989-1991),36,TEMPORAL,True
How many teams did Tijuana was worked as manager from 2003-2020?,16 Teams,36,COUNT,False
How many teams in his senior career did Mohamed play for in the 90's?,6,36,COUNT,False
How many goals did Zinedine Zidane was posted for Netherlands National team from 1988-2006?,35 goals,40,COUNT,False
How many years did Zinedine Zidane was played senior career?,17 Years played,40,TEMPORAL,True
How many years did Zinedine Zidane spend in the youth division?,9,40,COUNT,True
When did Zinedine Zidane's career start as a senior?,1988,40,TEMPORAL,True
How much longer was Zidane's senior career than his youth career?,9 years,40,TEMPORAL,True
How long after playing for Real Madrid did Zidane become its assistant manager?,7 years,40,TEMPORAL,True
How many years did Roy Emerson play at an amateur level until he turned pro?,15 years,50,TEMPORAL,True
How old was Roy Emerson when he began to play professionally?,32 years old,50,TEMPORAL,True
When was the last time that Roy Emerson won Wimbleton?,1971,50,TEMPORAL,True
How long after winning a doubles tournament did Roy Emerson win a singles tournament?,2 years,50,TEMPORAL,True
How many Davis Cups did Roy Emerson compete in after he turned pro?,4,50,COUNT,False
How many total years of amateur playing and pro playing did Roy Emerson have?,30,50,COUNT,True
When was the first time that Roy Emerson won the Davis Cup?,1959,50,TEMPORAL,True
How long did it take Roy Emereson to go from amateur to pro?,15 years,50,TEMPORAL,True
How old was Roy Emerson when he retired from playin professionally?,47 years old,50,TEMPORAL,True
When did Roy Emerson first win a Grand Slam Singles Tournament?,1961,50,TEMPORAL,True
How long after turning pro did Roy Emerson retire?,15 years,50,TEMPORAL,True
Which Grand Slam tournament did Emerson win the first year he won the Davis Cup team competition?,US Open,50,UNKNOWN,True
When was the most recent time that Roy Emerson won the Australian Open?,1969,50,TEMPORAL,True
How old was Roy Emerson when he first won the French Open Doubles?,27,50,AGE,True
How many times did Emerson win multiple Grand Slam doubles in a single year?,3,50,COUNT,True
What year was Roy Emerson inducted into the International Tennis Hall of Fame?,1982,50,TEMPORAL,True
How long did Roy Emerson play in the amateur league before going professional?,15 years,50,TEMPORAL,True
How long did Roy Emerson play professionally?,15 years,50,TEMPORAL,True
How many years were between when Nicklaus first won the U.S. Open and last won the Masters Tournament?,24,66,COUNT,True
How many championships and awards did Nicklaus win in 1975?,4,66,COUNT,False
What was the most recent award that Jack Nicklaus won?,Congressional Gold Medal,66,UNKNOWN,False
How long after his marriage did Nicklaus turn professional?,1 year,66,TEMPORAL,True
When was the first time that Jack Nicklaus won a Masters Tournament?,1963,66,TEMPORAL,True
How many years after turning pro did Jack Nicklaus win a Masters Tournament?,2,66,COUNT,True
How many years had Jack Nicklaus been playing when he won his first Masters Tournament?,2 years,66,TEMPORAL,True
How many years had Jack Nicklaus been playing when he won his last PGA as leading money winner?,15 years,66,TEMPORAL,True
What was the last year that Jack Nicklaus won a U.S. Open?,1980,66,TEMPORAL,True
How many years were between the time Diegel first won the PGA Championship and when he achieved T16 at the Master's?,6,68,COUNT,True
How many years before Diegel died was the picture taken?,19,68,COUNT,True
How long was Leo Diegel married?,17 years,68,TEMPORAL,True
How long after Diegel started his pro career did he marry Violet Bird Diegel?,18 years,68,TEMPORAL,True
What was the last competition that Leo Diegel won?,Masters Tournament,68,UNKNOWN,False
How many years after winning his first competition did Leo Diegel pass away?,31,68,COUNT,True
How many times did Leo Diegel was won the PGA Championship from 1916?,"2 Times (1928,1929)",68,COUNT,False
How many years ago did Leo Diegel was died?,71 Years ago,68,TEMPORAL,True
"Which did Sam Snead win first, a Masters tournament, or a PGA tournament?",PGA,70,UNKNOWN,False
How many years had Sam Snead been playing professionally when he won the Masters?,15 years,70,TEMPORAL,True
What year did Sam Snead begin playing professionally?,1934,70,TEMPORAL,True
"What happened first, Sam Snead's marriage or career?",career,70,UNKNOWN,False
How many years separate the time Sam Snead began playing professionally and his death?,68 years,70,TEMPORAL,True
How many years before he married Audrey Karnes Snead did Snead begin his pro career?,6,70,COUNT,True
How many championships and awards did Snead win in 1949?,5,70,COUNT,False
How long after starting his pro career did Snead win his first championship?,8 years,70,TEMPORAL,True
How old was Sam Snead when he turned professional?,32,70,AGE,True
What year was Chuck Howley drafted into the NFL?,1958,74,TEMPORAL,True
How many years did Chuck Howley play for the Los Raiders?,12,74,COUNT,True
What was the total number of years that Chuck Howley was a 5× First-team All-Pro?,4,74,COUNT,True
How many times did Chuck Howley play in the Pro Bowl when he was with the Raiders?,6,74,COUNT,True
How old was Chuck Howley when his NFL career began?,22,74,AGE,True
When was the last year that Chuck Howley played in the Pro Bowl?,1971,74,TEMPORAL,True
During what year did Manning receive the most awards or highlights?,2003,75,TEMPORAL,True
"What career highlight did Manning achieve the year had 1,219 passing yards?",Pro Bowl,75,UNKNOWN,True
How many years longer did Manning play for the New York Giants than Ole Miss?,11,75,COUNT,True
In 2011 how many passing yards in a single postseason did Eli Manning have?,"1,219 yards",75,COUNT,False
What were the number of years that Eli Manning played for the Giants before he won the Walter Payton NFL Man of the Year in 2016?,12 years,75,TEMPORAL,True
What year was Eli Manning drafted into the NFL?,2004,75,TEMPORAL,True
How many years did Eli Manning play for the New York Giants?,15,75,COUNT,True
How many years did Eli Manning attend school at Ole Miss?,4 years,75,TEMPORAL,True
How many years after Eli Manning attended Ole Miss did he win the Bart Starr award?,21 years,75,TEMPORAL,True
How many years did James Worthy play professionally?,12 years,81,TEMPORAL,True
When was the last time that James Worthy played in an NBA All Stars game?,1992,81,TEMPORAL,True
When was the first time that James worthy was chosen as an All-American player?,1978,81,TEMPORAL,True
For how many years did James Worthy play for the NBA?,12,81,COUNT,True
How many years after winning the gold medal at the FIBA U19 World Championship did Worthy enter the draft?,3,81,COUNT,True
How many awards and highlights did Worthy have in the same year as the last year he was in college?,5,81,COUNT,True
How long after Worthy's NBA career began did he win his first NBA championship?,3 years,81,TEMPORAL,True
How long had James Worthy been playing professionally when he won the NCAA Championship?,1,81,UNKNOWN,True
How many years ago did Nate Archibald was received Basketball Hall of Fame as player?,16 Years ago (2006),83,TEMPORAL,True
How many awards did Nate Archibald win in 1973?,two,83,COUNT,False
How many years did Nate Archibald play professionally for?,14,83,COUNT,True
When was the last time that Nate Archibald was an NBA All Star?,1982,83,TEMPORAL,True
How many years did Nate Archibald was active carreer since 1970?,14 Years,83,TEMPORAL,True
What was the age when Scottie Pippen won gold medal in 1996 Atlanta Olympic Games?,Age of 31,89,AGE,True
How many years did Pippen play between his stints in Chicago?,Five,89,COUNT,True
How old was Pippwn when he won his first Olympic gold?,26,89,AGE,True
How long after Pippen entered the NBA draft did was he awarded NBA steals leader?,8 years,89,TEMPORAL,True
How many years longer did Pippen play for the Chicago Bulls than for the Portland Trail Blazers?,8,89,COUNT,True
How many years ago did Scottie Pippen awarded NBA steals leader?,27 Years ago (1995),89,TEMPORAL,True
How many gold medals had Carolina Albuquerque won by the time she got a silver medal in Rio de Janeiro?,4,93,COUNT,False
What was the first year that Carolina Albuquerque competed on the national team?,1997,93,TEMPORAL,True
How many years separate Carolina Albuquerque's silver medals in the the World Grand Prix and the World Championship?,7,93,COUNT,True
How long after her first gold medal in any international competition did Carolina Albuquerque win a gold in Olympics?,9 years,93,TEMPORAL,True
In which year did Carolina Albuquerque win the most gold medals in international competition?,2008,93,TEMPORAL,True
How many gold medals had Carolina Albuquerque won by the year 2004?,1,93,COUNT,True
What years did Carolina Albuquerque win medals in Asia?,"1999, 2005, 2006, 2008",93,TEMPORAL,True
What was the age when Thiago Alves won first medal in Olympic Games 2012?,Age of 26,96,AGE,True
How many gold medals did Thiago Alves throughout his career?,9,96,COUNT,False
How many years separate the two gold medals that Thiago Alves won in the World Grand Championships Cup?,4 years,96,TEMPORAL,True
How old was Thiago Alves when he won gold in the Pan American games in 2011?,25 years,96,TEMPORAL,True
How many years did Thiago Alves played for Grêmio Náutico União from 2000?,3 Years (2000-2003),96,TEMPORAL,True
What year did Matt Biondi win 4 gold medals in the Summer Universiade games?,1985,115,TEMPORAL,True
How many years after winning his first medal in an Olympic Game did Matt Biondi win a medal in his last Olympic Game?,8,115,COUNT,True
How many gold medals did Matt Biondi win in the 1988 Seoul Olympics?,5,115,COUNT,False
What year did Matt Biondi win his only bronze in the Olympics?,1988,115,TEMPORAL,True
How many gold medals won by Matt Biondi in Olympics 1988?,5 Gold Medals,115,COUNT,False
How many gold medals won by Matt Biondi in his career upto 2022 for 100m freestyle ?,7 Gold Medals,115,COUNT,False
How many gold medals won by Matt Biondi in World Championships?,6 Gold medals,115,COUNT,False
When was the last time that Matt Biondi won a medal in the Olympic Games?,1992,115,TEMPORAL,True
When did Matt Biondi first win a gold at the Olympic Games?,1984,115,TEMPORAL,True
How many 50 m freestyle gold medals won by Tom Jager in his career upto 2022?,Five,118,COUNT,False
How many 4x100 m freestyle medals won by Tom Jager in his career upto 2022?,11 medals,118,COUNT,False
How many medals won by Tom Jager in Olympics 1988?,3 medals (2 Gold + 1 Silver),118,COUNT,False
How many medals did Tom Jager win in the Olympics in the 80s?,five,118,COUNT,False
In what year did Jager win the most overall Olympic medals?,1988,118,TEMPORAL,True
How many years were between Jager's gold medals at the Los Angeles Olympics and his gold medals at the Edmonton Pan Am Games?,7,118,COUNT,True
How old was Bayinnaung we he began his reign as Suzerain of Siam?,48,119,AGE,False
How long was it between when Bayinnaung's reign as Suzerain of Lan Na began and his first reign as Suzerain of Lan Xang ended?,10,119,UNKNOWN,True
How many months after the beginning of his reign as King of Burma was Bayinnaung's coronation at Toungoo?,9,119,COUNT,True
How many days after Bayinnaung died did they bury him?,5,119,COUNT,True
In what year did Bayinnaung first reign?,1565,119,TEMPORAL,True
How many years did Bayinnaung was ruled the Suzerain of Siam?,17 Years,119,TEMPORAL,True
How old was Peter III when he became King of Aragon and Valencia Count of Barcelona?,37 years old,122,TEMPORAL,True
How long did Peter III rule as King of Aragon and Valencia Count of Barcelona?,9 years,122,TEMPORAL,True
What was the last position held by Peter III,King of Aragon and Valencia Count of Barcelona,122,UNKNOWN,False
When did Peter III assume his first role?,4 September 1282,122,UNKNOWN,True
What was the first area ruled by Peter III,Sicily,122,UNKNOWN,False
How many years before the his death did Peter III begin his reign as King of Sicily?,3,122,COUNT,True
How many years did Peter III reign as King of Sicily?,3 years,122,TEMPORAL,True
How much longer was Peter III's reign as King of Aragon and Valencia Count of Barcelona than as King of Sicily?,6 years,122,TEMPORAL,True
How old was Peter III when he started his reign as King of Aragon and Valencia Count of Barcelona?,37,122,AGE,True
How many gold medals has Chen Yufei won in mixed team competition?,9,129,COUNT,False
Since 2013 what year did Chen Yufei not win a medal in badminton?,2021,129,TEMPORAL,True
How many gold medals won by Chen Yufei in Asian Junior Championships since 2013?,5 Gold medals,129,COUNT,False
In what year did Chen Yufei win the most medals?,2016,129,TEMPORAL,True
How many years are between Chen Yufei's gold medal at the Kota Kinabalu Asian Junior Championships and her gold medal at the Tokyo Olympics?,7,129,COUNT,True
How many years ago did Shi Yuqi achived highest rank?,5 Years ago (2017),166,TEMPORAL,True
In what year did Shi Yuqi win the most gold medals?,2014,166,TEMPORAL,True
How many years separate Yuqi's silver medal at the World Championship and his silver at the Asian Junior Championships?,6,166,COUNT,True
When was the first time that Shi Yuqi won a medal in the Asian Junior Championships?,2012,166,TEMPORAL,True
How many medals has Shi Yuqi won after 2012?,20,166,COUNT,False
When was the most recent year in which Shi Yuqi won a medal?,2021,166,TEMPORAL,True
How many Mixed Team gold medals won by Shi Yuqi in Asian Junior Championships from 2012?,"Two (2013, 2014)",166,TEMPORAL,False
How many gold medals did Wang Xiaoli win the year she was ranked number 1?,2,174,COUNT,True
In what year did Wang Xiaoli win the most bronze medals?,2006,174,TEMPORAL,True
How many years separate Wang Xiaoli's gold medal at the London World Championship and her gold medal at the Asian Junior Championships?,5,174,COUNT,True
When was the most recent time that Wang Xiaoli received a medal in the Asian Junior Championships?,2007,174,TEMPORAL,True
When was the first time that Wang Xiaoli won a medal in the World Championships?,2010,174,TEMPORAL,True
How many times in 2009 did Wang Xiaoli receive a medal in the East Asian Games?,2,174,COUNT,False
How many years ago did Wang Xiaoli achived Highest ranking?,8 Years ago,174,TEMPORAL,True
How many gold medals won by Wang Xiaoli in Olympic games from 2011?,Two,174,COUNT,False
What was the age when Wang Xiaoli won first gold medal in Asian Junior Championships 2006?,Age of 17,174,AGE,True
How many years did B-24 Skua was in active service as bomber/fighter?,3 Years,226,TEMPORAL,True
How many B-24 Skua was built in between 1937-1941?,192,226,COUNT,False
How many years ago did B-24 Skua was first flighted?,85 Years ago,226,TEMPORAL,True
What year was the B-24 Skua introduced?,1938,226,TEMPORAL,True
How many years was it after the first flight was the B-24 Skua introduced?,1 year,226,TEMPORAL,True
How many years did the B-24 Skua fly before it was retired?,8 years,226,TEMPORAL,True
How much longer was the time between when the B-24 Skua was withdrawn from the front line and withdrawn from other duties than the first flight and the introduction?,3 years,226,TEMPORAL,True
How many years were between when the B-24 Skua was introduced and it was withdrawn from the front line?,3,226,COUNT,True
How long after the first flight of the B-24 Skua was it withdrawn from other duties?,8 years,226,TEMPORAL,True
How many years passed between first flight and introduction of JF-17 Thunder?,4 years,229,TEMPORAL,True
How many years did JF-17 Thunder was introduced after first flight in 2003?,4 Years after,229,TEMPORAL,True
How many years did JF-17 Thunder is produced in pakistan?,14 Years,229,TEMPORAL,True
How long in years has JF-17 Thunder been used in Pakistan?,14,229,UNKNOWN,True
How many years has JF-17 Thunder been used in China?,15,229,COUNT,True
How many A JF-17 jets were produced 15 years after its introduction?,164,229,COUNT,True
How many years after its first flight was the A JF-17 produced in Pakistan?,4,229,COUNT,True
How many countries become Belarus' main export partners in 2021?,9,235,COUNT,False
How many parties does Joe’s Biden’s is associated with in his entire lifetime?,one,235,COUNT,False
What was the most imported and exported goods from Belarus based on 2017 estimates?,Manufacturers,235,UNKNOWN,False
"What is the population of the  Minsk, the financial capital of Belarus in the year 2020?","9,408,350 (1 January 2020)",235,TEMPORAL,True
How many Indians live in Belarus?,171 Indian nationals,235,COUNT,False
"What is the fiscal year of Minsk, the financial capital of Belarus?",Calendar year,235,TEMPORAL,True
Which field of employment contributes the most to the Belarusian economy based on 2015 estimate?,services,235,UNKNOWN,False
How long did it take for the inflation to reduce 0.8% in the economy of France?,1 year,243,TEMPORAL,True
In how many years did Human Development Index of the economy of France grow by 0.089 points?,1 year,243,TEMPORAL,True
Was the rate of inflation in France higher in 2020 or 2018?,2020,243,UNKNOWN,False
How much did France's HDI increase from 2019 to 2020?,0.089.,243,UNKNOWN,False
"Which is greater, the Economy of France's 2020 foreign reserves or its 2019 public debt?",2019 public debt,243,UNKNOWN,False
How long after the economic aid of $9.50 billion was the revenues of the French economy 52.6% of GDP?,3 years,243,TEMPORAL,True
What is the main Labor force of Japan in 2018?,Services,248,UNKNOWN,False
What day does Japan's fiscal year end?,31 March,248,UNKNOWN,True
What day does Japan's fiscal year begin?,1 April,248,UNKNOWN,True
What was the population of Malaysia in 2022?,"33,871,431",250,UNKNOWN,False
"How many years are between the year Malaysia's nominal GDP rank was 34th and the year its PPP GDP per capita was $32,901?",0,250,COUNT,True
How many days has it been since Horacio Rosatti became President of the Supreme Court of Argentina?,283,253,COUNT,True
How many years ago did Supreme Court of Argentina Established?,159 Years ago,253,TEMPORAL,True
How many days ago did Carlos Rosenkrantz in office of the vice president of Supreme Court of Argentina?,271 days ago,253,TEMPORAL,True
How many months has it been since the Supreme Court of Argentina been?,1913,253,COUNT,True
"If a judge is appointed at the age of 50, how many years may they serve before a five-year extension is required?",25 years,253,TEMPORAL,True
How old did the Supreme Administrative Court turn the year Anna Sporrer became Vice President?,138 years,254,TEMPORAL,True
How many years ago Supreme Administrative Court was established?,146,254,COUNT,True
How long has Rudolf Thienel been President of Supreme Administrative Court?,8 years,254,TEMPORAL,True
How long after its establishment did Supreme Administrative Court have Rudolf Thienel as its President?,138 years,254,TEMPORAL,True
How old did the Supreme Administrative Court turn the year Rudolf Thienel became President?,138 years,254,TEMPORAL,True
How many years after Rudolf Thienel became President did Anna Sporrer became Vice President?,zero,254,COUNT,True
How many years did Supreme Court of Israel was established?,74 years,257,TEMPORAL,True
How much longer will Esther Hayut's term as president be than Uzi Vogelman's term as deputy president when their lead positions end?,4 years,257,TEMPORAL,True
How many years between when Uzi Vogelman term as deputy president begins and when his Jurist term ends?,2,257,COUNT,True
How long after the Supreme Court of Israel was established did Esther Hayut become president?,69 years,257,TEMPORAL,True
What is the number of other positions in the Supreme Court of Israel than the ones' Hayut and Vogelman have?,13,257,COUNT,False
For approximately how many more years has Esther Hayut been with the Supreme Court of Israel vs Uzi Vogelman?,5,257,COUNT,True
How many years later did Esther Hayut become President after the start of Supreme Court of Israel?,69,257,COUNT,True
How many total wins did Casey Mears accumulate in NASCAR?,Two,264,COUNT,False
How many years ago did Casey Mears last participated in IndyCar Series?,21 Years ago (2001),264,TEMPORAL,True
How many years ago did Casey Mears received the award of Coca-Cola 600 winner?,15 Years ago (2007),264,TEMPORAL,True
How many years did Casey Mears participated in NASCAR Xfinity Series?,17 Years (2001-2017),264,TEMPORAL,True
What was the last race that Casey Mears ran in the Champ Car Series in 2001?,Marlboro 500,264,UNKNOWN,False
How many years did Casey Mears career last in the Champ Car series?,2 years,264,TEMPORAL,True
What year did Casey Mears have his first Daytona 500 race?,2003,264,TEMPORAL,True
How many years did it take for Mears to win a NASCAR Cup Series race?,Four,264,COUNT,True
What state have all four of his debut and final races in NASCAR series' occured in?,Florida,264,UNKNOWN,False
How many top 10 NASCAR finishes does Cody Ware have over all series?,2,265,COUNT,False
How many different NASCAR series has Cody Ware competed in?,4,265,COUNT,False
How old was Cody Ware when he debut in the NASCAR Cup Series?,22 years old,265,TEMPORAL,True
How many years did Cody Ware race in the NASCAR Xfinity Cup Series?,7 years,265,TEMPORAL,True
How many years ago did Cody Ware won Lamborghini Super Trofeo North America Rookie of the Year 2014?,8 Years ago,265,TEMPORAL,True
What was the age when Cody Ware participated first race in NASCAR PEAK Mexico Series 2014?,Age of 19,265,AGE,True
How many races particiapted by Cody Ware in NASCAR Xfinity Series since 2014?,28 races,265,COUNT,False
How old was Cody Ware when he competed in the NASCAR PEAK Mexico Series?,19 years old,265,TEMPORAL,True
What year did Cody Ware race for his first NASCAR Cup series race?,2017,265,TEMPORAL,True
How many years ago did Tony Stewart was awarded IROC champion?,16 Years ago (2006),272,TEMPORAL,True
What was the age when Tony Stewart first participated in IndyCar Series career?,Age of 21,272,AGE,True
What year did Tony Stewart win his first NASCAR Cup Series Race?,2002,272,TEMPORAL,True
How many major American series' has Stewart won a race in?,Four,272,COUNT,False
At what age was Stewart inducted into the NASCAR Hall of Fame?,49,272,AGE,True
How many total top 10s in any NASCAR series does Stewart have?,354,272,COUNT,False
What year did Tony Stewart win his last NASCAR Series Cup Race?,2016,272,TEMPORAL,True
How old was Tony Stewart when he won his first 2002 NASCAR Series Race?,31 years old,272,TEMPORAL,True
