"question","answer","category","table_id","predicted_answer"
"How many years did Art Carney as actor since 1939?","54 Years","actor","2","Art Carney's years of active acting career are 1939-1993, which spans 54 years."
"Who was the spouse of Art Carney in 1970?","Barbara Isaac","actor","2","Barbara Isaac"
"How many total years was Art Carney married to Jean Myers?","28 years","actor","2","Art Carney was married to Jean Myers for 25 years (1940-1965)."
"Which spouse was Art Carney married to the least?","Barbara Isaac","actor","2","Barbara Isaac || Art Carney was married to Barbara Isaac for 11 years (1966-1977), which is the least among his three marriages."
"Who was Art Carney married to when he served in the US Army?","Jean Myers","actor","2","Jean Myers"
"How many years before he died was Art Carney married for the last time?","23","actor","2","Art Carney was married for the last time in 1980. He died in 2003, so the number of years between his last marriage and his death is 23."
"Who was Art Carney married to while he served in the military?","Jean Myers","actor","2","Jean Myers"
"How old was Art Carney when he first got divorced?","47","actor","2","Art Carney was 37 years old when he first got divorced in 1965."
"How many years ago did Art Carney was died?","19 Years ago","actor","2","Art Carney died 19 years ago in 2003."
"For how many years had Benedict Cumberbatch been acting when he got married?","17","actor","3","17 years"
"How many years prior to Cumberbatch turning 45 was the picture taken?","2","actor","3","The picture was taken 43 years prior to Cumberbatch turning 45."
"How long after Cumberbatch started his career did he marry Sophie Hunter​?","17 years","actor","3","Benedict Cumberbatch married Sophie Hunter in 2015, 17 years after he started his career in 1998."
"How old was Cumberbatch when his career began?","22","actor","3","22 years old || Benedict Cumberbatch's career began in 1998, and he was born on July 19, 1976, so he was 22 years old when his career began."
"How old was Benedict Cumberbatch when he started acting?","22","actor","3","Benedict Cumberbatch was 22 years old when he started acting."
"How many years has Benedict Cumberbatch been acting?","24 years","actor","3","24 years"
"For how many years has Benedict Cumberbatch been married?","7","actor","3","Benedict Cumberbatch has been married for 7 years."
"Who did Benedict Cumberbatch marry in 2015?","Sophie Hunter","actor","3","Sophie Hunter"
"How old was Benedict Cumberbatch when he began acting?","22 years old","actor","3","22 years old"
"How many different personas has professional wrestler Dwayne Johnson used in the sport?","4","wrestling","7","FourThe four personas used by Dwayne Johnson in professional wrestling are:1. Flex Kavana2. Rocky Maivia3. The Rock4. Dwayne Johnson (his real name)"
"How many years long was Dwayne Johnson's professional wrestling career?","23","wrestling","7","The answer is 23 years."
"When was the last time that Dwayne Johnson competed in the ring professionally?","2019","wrestling","7","The last time Dwayne Johnson competed in the ring professionally was in 2019. According to the information provided in the context, he retired from professional wrestling in 2019."
"Who did Dwayne Johnson marry in 1997?","Dany Garcia","wrestling","7","Dany Garcia"
"How old was Dwayne Johnson when he began his wrestling career?","24 years old","wrestling","7","24 years old"
"What was the age when Dwayne Johnson as debut as actor?","Age of 27","wrestling","7","The age when Dwayne Johnson made his debut as an actor was 27 years old."
"Who was the spouse of Dwayne Johnson in 2000?","Dany Garcia","wrestling","7","Dany Garcia"
"How many years did Dwayne Johnson was in wresting career?","23 Years","wrestling","7","The answer is 23 years."
"How many active years did Dwayne Johnson wrestle?","23 years","wrestling","7","The answer is 18 years."
"How many years was Joan Crawford active?","50","actor","8","50 years || She was active from 1924 to 1974, for a total of 50 years."
"how many years Joan Crawford and Franchot Tone live together?","4","actor","8","The answer is 4 years. Joan Crawford and Franchot Tone were married from 1935 to 1939, which is 4 years."
"How many times Joan Crawford have been married?","4","actor","8","Four times.Joan Crawford was married to:1. Douglas Fairbanks Jr. (1929-1933)2. Franchot Tone (1935-1939)3. Phillip Terry (1942-1946)4. Alfred Steele (1955-1959)Therefore, the answer is four times."
"How many years Joan Crawford is active?","50","actor","8","50 years || She was active from 1924 to 1974, for a total of 50 years."
"Did Joan Crawford have more children or brothers?","children","actor","8","More brothers."
"How many years did Joan Crawford was active carreer?","50 Years (1924–1974)","actor","8","50 years"
"Who was the other half of Joan Crawford in 1937?","Franchot Tone","actor","8","Franchot Tone"
"How many years did Joan Crawford and Alfred Steele was married relatioship?","4 Years (from 1955 to 1959)","actor","8","The answer is 4 years.Joan Crawford and Alfred Steele were married in 1955 and Steele died in 1959, therefore their marriage lasted for 4 years."
"How long did each of Joan Crawford's marriages last?","four","actor","8","Sure, here's the answer and reasoning:Answer:* Douglas Fairbanks Jr.: 4 years (1929-1933)* Franchot Tone: 4 years (1935-1939)* Phillip Terry: 4 years (1942-1946)* Alfred Steele: 4 years (1955-1959)"
"What was the the age when Hebar Pazardzhik originally retrired from his career?","Age of 39","wrestling","13","Steve Austin originally retired from his wrestling career in 2003, at the age of 38.The reasoning for this answer is based on the information provided in the context, which states that Steve Austin retired in 2003. The age of 38 is calculated by subtracting the year of his birth (1964) from the year of his retirement (2003)."
"How many years ago did Hebar Pazardzhik debut his first match?","33 years ago","wrestling","13","September 30, 1989"
"For how many more years was Steve Austin married to Jeanie Clarke than Kathryn Burrhus?","5","wrestling","13","Sure! Here's the answer and reasoning:Answer: 7 years"
"How old was Steve Austin when he started his wrestling career?","25","wrestling","13","25 years old"
"How many years elapsed between Steve Austin's first retirement and his return match?","19","wrestling","13","Sure! Here's the answer and reasoning:Answer: 19 years"
"How old was Steve Austin when he began his professional wrestling career?","25 years old","wrestling","13","25 years old || Steve Austin began his professional wrestling career in 1989, and he was born on December 18, 1964, which means he was 25 years old when he started his career."
"Who did Steve Austin marry in 1990?","Kathryn Burrhus","wrestling","13","Kathryn Burrhus"
"How old was Steve Austin when he retired from professional wrestling?","39 years old","wrestling","13","The answer is 38 years old."
"Who was the spouse of Hebar Pazardzhik in 2002?","Debra Marshall","wrestling","13","Debra Marshall"
"How many years after the Ethiopian was first established did Mekelle become capital?","601","empire","22","The answer to the question ""How many years after the Ethiopian Empire was first established did Mekelle become capital?"" is 1871 - 1270 = 601 years."
"The first prime minister of the Ethiopian Empire began when what was the state capital?","Addis Ababa","empire","22","The first prime minister of the Ethiopian Empire was Habte Giyorgis, who served from 1909 to 1927. At that time, the state capital was Addis Ababa."
"Which was the capital of Ethiopia in 1880?","Mekelle","empire","22","The capital of Ethiopia in 1880 was Addis Ababa."
"How much longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?","3 years","empire","22","The difference in length between Habte Giyorgis' tenure as Prime Minister and Yekuno Amlak's reign as Emperor is 67 years.Habte Giyorgis served as Prime Minister from 1909 to 1927, a total of 18 years.Yekuno Amlak reigned as Emperor from 1270 to 1285, a total of 15 years.Therefore, Habte Giyorgis was Prime Minister for 67 years less than Yekuno Amlak was Emperor."
"Who was the prime minister of Ethiopia in 1925?","Habte Giyorgis","empire","22","The prime minister of Ethiopia in 1925 was Habte Giyorgis."
"How many years did Ethiopian-Adal war was held?","14 Years","empire","22","The Ethiopian-Adal war was held from 1529 to 1543. Therefore, the answer is 12 years."
"Who was emperor when the empire was conquered by Italy?","Haile Selassie","empire","22","Haile Selassie"
"How long after the constitution was adopted was the monarchy abolished?","44 years","empire","22","21 years"
"Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?","85","empire","22","Italian Eritrea happened 43 years before the Ethiopian Empire monarchy was abolished."
"How long after playing for Monterrey did Mohamed first manage the team?","15 years","footballer","36","Sure, here's the answer and reasoning based on the provided context:Answer: 15 years"
"How many teams did Antonio Mohamed manage between 2003 and 2006?","5","footballer","36","Between 2003 and 2006, Antonio Mohamed managed 4 teams:1. Zacatepec (2003-2004)2. Morelia (2004)3. Querétaro (2004-2005)4. Chiapas (2005)Therefore, the answer is 4."
"What team did Antonio Mohamed play for in 1990 season?","Huracán","footballer","36","The team that Antonio Mohamed played for in the 1990 season was Huracán."
"How many years did Antonio Mohamed manage the team before the team he currently manages?","1 year","footballer","36","Sure! Here's the answer and reasoning based on the given context:Answer: 20 years"
"How many years did Antonio Mohamed was played for national team as member?","3 Years (1989-1991)","footballer","36","4 years"
"Which team did Antonio Mohamed was manager in 2012?","Tijuana","footballer","36","The team that Antonio Mohamed managed in 2012 was Celta."
"How many teams did Tijuana was worked as manager from 2003-2020?","16 Teams","footballer","36","Antonio Mohamed worked as a manager for 4 teams from 2003-2020:1. Zacatepec (2003-2004)2. Morelia (2004)3. Querétaro (2004-2005)4. Tijuana (2011-2013)"
"How many teams in his senior career did Mohamed play for in the 90's?","6","footballer","36","In the 90's, Mohamed played for 4 teams in his senior career:1. Huracán (1988-1991)2. Fiorentina (1991-1993)3. Boca Juniors (1991-1992, on loan)4. Independiente (1992-1993, on loan)Therefore, the answer is 4."
"What team in his senior career did Mohamed play for the year he played for the  Argentina U20 national team?","Huracán","footballer","36","The team that Mohamed played for in his senior career when he played for the Argentina U20 national team was Huracán. This is stated in the ""Senior career"" section of the infobox, which lists the teams that Mohamed played for and the number of appearances and goals he made for each team. According to the infobox, Mohamed played for Huracán from 1988 to 1991, and during that time he made 109 appearances and scored 41 goals. Therefore, when Mohamed played for the Argentina U20 national team in 1989, he was playing for Huracán."
"How many goals did Zinedine Zidane was posted for Netherlands National team from 1988-2006?","35 goals","footballer","40","The question asks how many goals Zinedine Zidane scored for the Netherlands national team from 1988-2006. However, Zidane did not play for the Netherlands national team, he played for the France national team. Therefore, the answer is 0."
"How many years did Zinedine Zidane was played senior career?","17 Years played","footballer","40","Zinedine Zidane played senior career for 18 years, from 1989 to 2006."
"How many years did Zinedine Zidane spend in the youth division?","9","footballer","40","Zinedine Zidane spent 7 years in the youth division (1981-1989)."
